pathway_id,pathway_size,foreground_size,background_size,foreground_in_pathway,foreground_not_in_pathway,background_in_pathway_not_foreground,background_not_in_pathway_not_foreground,oddsratio,p_value,q_value
map01100,257,352,454,207,145,50,52,1.4846896551724138,0.050557396482458744,0.9971941021647744
map00040,9,352,454,9,343,0,102,inf,0.09891389967775875,0.9971941021647744
map01240,37,352,454,32,320,5,97,1.94,0.12094568192952941,0.9971941021647744
map04148,8,352,454,8,344,0,102,inf,0.12824302109383837,0.9971941021647744
map00330,20,352,454,18,334,2,100,2.694610778443114,0.1344038985756611,0.9971941021647744
map01230,40,352,454,34,318,6,96,1.7106918238993711,0.1619406540911428,0.9971941021647744
map00030,7,352,454,7,345,0,102,inf,0.16615834906940802,0.9971941021647744
map00785,7,352,454,7,345,0,102,inf,0.16615834906940802,0.9971941021647744
map01250,7,352,454,7,345,0,102,inf,0.16615834906940802,0.9971941021647744
map00052,7,352,454,7,345,0,102,inf,0.16615834906940802,0.9971941021647744
map00830,7,352,454,7,345,0,102,inf,0.16615834906940802,0.9971941021647744
map00240,13,352,454,12,340,1,101,3.5647058823529414,0.17038758589608555,0.9971941021647744
map01110,92,352,454,75,277,17,85,1.3537906137184115,0.18853605802413698,0.9971941021647744
map00860,6,352,454,6,346,0,102,inf,0.21514144619391548,0.9971941021647744
map00999,6,352,454,6,346,0,102,inf,0.21514144619391548,0.9971941021647744
map00010,6,352,454,6,346,0,102,inf,0.21514144619391548,0.9971941021647744
map00400,6,352,454,6,346,0,102,inf,0.21514144619391548,0.9971941021647744
map05231,6,352,454,6,346,0,102,inf,0.21514144619391548,0.9971941021647744
map00520,6,352,454,6,346,0,102,inf,0.21514144619391548,0.9971941021647744
map01040,16,352,454,14,338,2,100,2.0710059171597632,0.2631733731962062,0.9971941021647744
map01210,26,352,454,22,330,4,98,1.6333333333333333,0.26638299496501405,0.9971941021647744
map04979,5,352,454,5,347,0,102,inf,0.27838187129990793,0.9971941021647744
map00710,5,352,454,5,347,0,102,inf,0.27838187129990793,0.9971941021647744
map00984,5,352,454,5,347,0,102,inf,0.27838187129990793,0.9971941021647744
map00561,5,352,454,5,347,0,102,inf,0.27838187129990793,0.9971941021647744
map00051,5,352,454,5,347,0,102,inf,0.27838187129990793,0.9971941021647744
map00998,10,352,454,9,343,1,101,2.6501457725947524,0.3029654949680565,0.9971941021647744
map00290,10,352,454,9,343,1,101,2.6501457725947524,0.3029654949680565,0.9971941021647744
map00966,10,352,454,9,343,1,101,2.6501457725947524,0.3029654949680565,0.9971941021647744
map01064,20,352,454,17,335,3,99,1.6746268656716419,0.3057470551507489,0.9971941021647744
map01200,19,352,454,16,336,3,99,1.5714285714285714,0.34865933677513467,0.9971941021647744
map00360,14,352,454,12,340,2,100,1.7647058823529411,0.3567423549769353,0.9971941021647744
map00073,4,352,454,4,348,0,102,inf,0.35997655771539827,0.9971941021647744
map00940,4,352,454,4,348,0,102,inf,0.35997655771539827,0.9971941021647744
map04066,4,352,454,4,348,0,102,inf,0.35997655771539827,0.9971941021647744
map00280,9,352,454,8,344,1,101,2.3488372093023258,0.36287599242247537,0.9971941021647744
map00410,9,352,454,8,344,1,101,2.3488372093023258,0.36287599242247537,0.9971941021647744
map01060,46,352,454,37,315,9,93,1.2137566137566138,0.3877111136454989,0.9971941021647744
map05230,27,352,454,22,330,5,97,1.2933333333333332,0.408553817730635,0.9971941021647744
map01120,72,352,454,57,295,15,87,1.120677966101695,0.4249720068319111,0.9971941021647744
map04977,8,352,454,7,345,1,101,2.0492753623188404,0.43156564489839533,0.9971941021647744
map00430,8,352,454,7,345,1,101,2.0492753623188404,0.43156564489839533,0.9971941021647744
map00120,8,352,454,7,345,1,101,2.0492753623188404,0.43156564489839533,0.9971941021647744
map00997,8,352,454,7,345,1,101,2.0492753623188404,0.43156564489839533,0.9971941021647744
map00960,8,352,454,7,345,1,101,2.0492753623188404,0.43156564489839533,0.9971941021647744
map01070,17,352,454,14,338,3,99,1.3668639053254439,0.4454459124314618,0.9971941021647744
map00332,3,352,454,3,349,0,102,inf,0.4651846061021335,0.9971941021647744
map04068,3,352,454,3,349,0,102,inf,0.4651846061021335,0.9971941021647744
map00552,3,352,454,3,349,0,102,inf,0.4651846061021335,0.9971941021647744
map04150,3,352,454,3,349,0,102,inf,0.4651846061021335,0.9971941021647744
map00401,3,352,454,3,349,0,102,inf,0.4651846061021335,0.9971941021647744
map00071,3,352,454,3,349,0,102,inf,0.4651846061021335,0.9971941021647744
map00404,3,352,454,3,349,0,102,inf,0.4651846061021335,0.9971941021647744
map04152,3,352,454,3,349,0,102,inf,0.4651846061021335,0.9971941021647744
map00908,3,352,454,3,349,0,102,inf,0.4651846061021335,0.9971941021647744
map00362,3,352,454,3,349,0,102,inf,0.4651846061021335,0.9971941021647744
map01232,12,352,454,10,342,2,100,1.4619883040935673,0.47101953240253414,0.9971941021647744
map00061,7,352,454,6,346,1,101,1.7514450867052023,0.5090400289409609,0.9971941021647744
map02060,7,352,454,6,346,1,101,1.7514450867052023,0.5090400289409609,0.9971941021647744
map00220,11,352,454,9,343,2,100,1.3119533527696794,0.5350512058275168,0.9971941021647744
map01066,11,352,454,9,343,2,100,1.3119533527696794,0.5350512058275168,0.9971941021647744
map00564,11,352,454,9,343,2,100,1.3119533527696794,0.5350512058275168,0.9971941021647744
map00470,37,352,454,29,323,8,94,1.054953560371517,0.5432598869911682,0.9971941021647744
map00250,15,352,454,12,340,3,99,1.1647058823529413,0.5543913524869277,0.9971941021647744
map00260,19,352,454,15,337,4,98,1.0905044510385757,0.570224232995999,0.9971941021647744
map04974,23,352,454,18,334,5,97,1.0455089820359282,0.5838786268671087,0.9971941021647744
map00660,6,352,454,5,347,1,101,1.4553314121037464,0.5945839968298703,0.9971941021647744
map04216,6,352,454,5,347,1,101,1.4553314121037464,0.5945839968298703,0.9971941021647744
map04723,6,352,454,5,347,1,101,1.4553314121037464,0.5945839968298703,0.9971941021647744
map04981,6,352,454,5,347,1,101,1.4553314121037464,0.5945839968298703,0.9971941021647744
map04382,6,352,454,5,347,1,101,1.4553314121037464,0.5945839968298703,0.9971941021647744
map00640,6,352,454,5,347,1,101,1.4553314121037464,0.5945839968298703,0.9971941021647744
map00620,6,352,454,5,347,1,101,1.4553314121037464,0.5945839968298703,0.9971941021647744
map00524,2,352,454,2,350,0,102,inf,0.600752691309041,0.9971941021647744
map04730,2,352,454,2,350,0,102,inf,0.600752691309041,0.9971941021647744
map05014,2,352,454,2,350,0,102,inf,0.600752691309041,0.9971941021647744
map05131,2,352,454,2,350,0,102,inf,0.600752691309041,0.9971941021647744
map01503,2,352,454,2,350,0,102,inf,0.600752691309041,0.9971941021647744
map01055,2,352,454,2,350,0,102,inf,0.600752691309041,0.9971941021647744
