metabolite_identification	QC01	QC02	QC03	QC04	QC05	QC06	QC07	QC08	QC09	AS1	AS2	AS3	AS4	AS5	AS6	AS7	AS8	AS9	AS10	AS11	AS12	AS13	AS14	AS15	AS16	AS17	AS18	AS19	AS20	AS21	AS22	AS23	AS24	AS25	AS26	AS27	AS28	AS29	AS30	AS31	AS32	AS33	AS34	AS35	AS36	AS37	AS38	AS39	AS40	FU1	FU2	FU3	FU4	FU5	FU6	FU7	FU8	FU9	FU10	FU11	FU12	FU13	FU14	FU15	FU16	FU17	FU18	FU19	FU20	FU21	FU22	FU23	FU24	FU25	FU26	FU27	FU28	FU29	FU30	FU31	FU32	FU33	FU34	FU35	FU36	FU37	FU38	FU39	FU40
Cymorcin diglucoside	9.941026355	9.179901392	9.4129848	8.57933465	9.560922027	9.134137577	9.146830036	9.648289288	9.711133456	4.276171214	5.097756871	14.56270287	6.370660049	9.559986092	8.012024765	1.822981849	1.911786713	6.758139844	7.256424382	2.790430059	14.57767773	5.445377433	9.439981593	1.509015493	2.30657044	6.848700979	3.949506231	19.71994971	5.890913326	2.884652821	7.36806433	2.931967127	4.846312735	19.03001034	2.646221135	3.61134723	5.542097153	7.021976323	8.747979975	4.257663156	9.712987692	17.68241451	9.238040548	52.66178573	6.976314875	53.19288067	3.230539504	7.786196277	7.203076899	7.328648595	8.514776323	9.334409708	38.52376663	28.48819086	30.24921797	10.51620333	18.1381325	10.42889785	12.35367094	2.424433225	17.02084254	4.514209359	20.80417744	16.12829895	3.599077755	9.313894095	14.41889069	27.67428907	7.109358277	13.33829436	3.82468545	3.50952757	3.351044471	4.383534576	17.89745387	13.12666155	9.297707134	0.441920081	20.98171913	2.110930983	17.4932167	7.510010246	7.60443366	1.565091013	7.637931713	25.37851427	1.903341328	2.128179934	10.9168095
Oxotolrestat glucuronide	1.334085606	1.38337826	1.941984557	2.121794943	2.088953558	1.640312748	1.697683529	1.473011325	2.046902374	0.094085693	0.253837699	3.014286264	1.14E-09	0.16012535	1.14E-09	0.270499917	1.14E-09	0.105560179	0.109056862	0.511527478	0.22284908	0.104158012	0.41554322	0.07814782	1.14E-09	0.135929895	0.11632427	0.116094286	1.14E-09	0.253122214	0.176016181	0.261504605	0.379724965	0.24010275	0.092242979	0.225097284	0.181407417	1.14E-09	0.457743822	0.153093772	0.172889388	0.076428356	0.065691298	0.20268301	1.14E-09	1.14E-09	1.14E-09	1.14E-09	1.14E-09	0.211857634	1.14E-09	40.98233959	36.63088193	25.68963831	25.31118045	0.878867194	1.14E-09	0.00110919	0.099166839	0.335585749	0.286666584	0.148488061	0.147956699	0.159952201	0.076937052	0.403422313	1.14E-09	0.097669713	0.107671784	0.106339854	0.47347951	1.14E-09	0.505288146	1.14E-09	0.391166306	0.173368301	0.367197103	0.034437163	1.136190258	1.14E-09	0.253508587	1.14E-09	0.131164223	0.169117025	0.183468825	0.335022731	0.025686927	0.215859031	0.094046453
2-Methyl-1-hydroxypropyl-ThPP	54.84977458	59.31563304	60.55305684	62.83419575	65.66670773	66.12694101	66.59484527	70.55462173	69.2155773	55.15825763	69.02732055	74.05114836	66.1849253	71.72159306	68.5386032	54.68404781	60.73604458	72.80750171	51.82980549	58.576055	64.63738124	59.55290938	75.88999813	60.96870725	62.95216367	63.70857419	64.58263823	76.85501721	68.14783956	63.56159757	68.68958878	53.70446251	76.09464902	83.50186232	53.03736251	53.63256705	83.21987386	58.39426728	70.31404465	45.27297585	68.58754284	53.82589936	81.89775745	53.63723356	87.97526177	45.19370758	48.88067312	62.00933418	58.18251801	70.94182392	63.14036341	55.31967269	69.70758355	69.37676505	70.79219795	49.59103878	61.95280822	60.90876333	75.30513525	63.32065092	55.24745653	69.4178947	71.95337666	47.70760384	61.0160423	62.35502671	61.22315813	59.97464637	69.49284399	63.03237645	59.08512265	70.25816578	58.03170818	61.1946982	71.18812079	55.02997672	71.83508482	51.69536892	93.8825327	38.57315296	60.6823617	66.14707263	56.79547877	70.98944852	71.79981485	50.23583433	50.35375841	60.63652111	65.0636293
Austalide G	4.781306926	4.430447222	4.036498554	3.727185654	2.982030006	3.920054044	3.857249673	3.439567282	3.596210555	3.299401439	3.879083113	4.271111303	3.744104332	4.551012693	4.710975658	3.375096506	4.686905658	3.455578112	5.216722142	3.554650046	3.820795407	3.479948559	4.467209025	3.752740461	3.203814732	4.0373679	2.679026126	3.658876388	2.918014777	5.001685215	3.481409035	3.717350639	4.115660815	4.597672314	4.101207225	2.704240479	5.537612306	4.169890868	4.274460213	3.473754423	3.292945912	4.242666082	4.438447031	4.315792164	4.62088703	4.222524801	3.778417369	4.56049657	3.833906666	4.029769552	4.008318464	3.003052686	4.29570101	3.491670115	4.035933992	3.472695426	4.856959773	3.855577996	4.233456093	3.76992287	4.100299728	3.784373614	5.64550905	4.425971582	4.621124109	4.458026064	3.725375711	4.080758862	3.689960151	4.71450124	3.693164377	3.626653226	3.972931458	4.578845859	4.062839421	4.660762441	3.401413159	3.938145441	3.729386553	3.261902371	3.696881084	3.275705854	3.669660617	3.98595221	4.294574716	3.758977712	3.672559777	3.707369475	4.277055634
Persin	31.60317335	28.7673919	28.95173756	26.94414053	28.04950615	26.61372771	27.89765679	28.26517001	25.06115265	20.51775247	27.04616578	21.41395978	35.95822005	12.84312624	26.11983814	38.81078187	20.05829158	23.51110296	26.02178439	21.22049387	8.698124324	19.80588889	35.59032097	35.81506194	24.8930483	22.53335436	15.99549881	19.88309982	24.01806066	13.55282049	20.07401028	25.58858819	26.8386279	35.75438065	26.74957352	21.87606671	40.4341261	27.5555999	28.94708928	32.61125294	20.14528591	20.03092477	25.31172476	33.04945537	25.91804888	31.61619476	24.34009284	26.25727166	16.93224786	21.80882584	24.06155383	27.3078112	23.07666603	21.39352022	19.38444031	27.65999585	26.17982354	28.38448347	21.46741261	21.73506772	17.91428778	30.72337393	36.80100548	32.25295271	23.82311271	36.82955948	13.56654466	20.70745466	29.79216376	34.44943248	36.09845781	18.5804537	23.36347838	22.14382235	22.21332794	25.92808736	23.15255069	32.11935892	13.72840538	40.28360813	19.21147646	24.27520848	28.03519826	43.62706027	17.10570599	16.84003615	36.41980721	26.79610448	18.83784412
CAY10500	3.984991427	3.602808792	3.971984755	3.339742875	3.34761933	3.64678726	3.110700736	3.317094939	2.892263953	3.66699466	2.073846274	1.550264434	1.507854732	1.84227509	1.04935532	1.945081322	2.654526339	1.253631984	1.009378868	0.963409962	2.145131684	0.424041061	1.203149105	0.782673316	1.197697578	2.358711693	1.793452235	2.848824143	4.529780525	2.171646199	2.844689958	1.907967752	1.359438102	0.955045159	2.37690235	2.714335133	0.698058534	1.995311188	3.196985441	6.9979943	4.236983595	5.35635162	2.981324643	4.140134134	2.682260228	3.165458194	4.756117047	2.351073394	1.00425551	2.340289891	3.384634766	3.553626955	4.455750589	4.852515466	5.133560594	3.048913976	2.762896216	3.998789678	1.02005562	2.123343425	1.418614809	3.022255152	0.533939893	2.79859137	3.465071539	5.188372442	2.750301826	3.066845886	3.226567816	1.048999644	3.317633666	4.017330435	3.518291655	0.952928705	2.965997553	2.702726821	3.185209111	1.14216416	2.25498474	4.500951738	1.731835032	4.853202925	1.968648444	2.232193119	2.51301267	3.815095446	6.684270678	4.691839939	0.76919414
3'-N-Debenzoyl-2'-deoxytaxol	1.347295328	1.724714168	1.518108781	0.950922511	2.56241409	1.552933419	1.923649651	0.720479554	1.906410138	1.822100523	1.939354154	2.178988234	2.310012713	2.845972384	2.344654124	1.30378044	2.709248741	2.016362325	2.112291177	2.965418882	2.613847934	2.602660548	2.477484362	1.640296374	2.55420681	2.61451546	3.024119902	3.126398463	0.959514076	3.433660168	1.852345788	2.718254927	3.209822654	2.869857778	1.009985522	2.999261251	2.107871004	2.047596708	2.330215884	0.971225585	3.959886761	2.142954561	3.072970367	1.607985331	3.814755831	1.779797947	1.673185319	3.075270253	2.824364932	2.925110795	1.848526171	1.90409296	1.928279757	1.88802038	0.81535566	2.317519942	2.609354547	1.411533021	2.145555908	3.102028766	1.965722088	1.500997776	1.43745168	2.252472773	2.679958726	1.809255824	3.653285908	2.094776712	2.044501823	2.963843901	2.090010788	1.877430391	1.395933043	1.558965752	2.432233859	2.610081884	2.269954426	1.930949808	2.182353831	2.594976221	2.420563913	2.357568351	2.469007356	1.405022862	2.428761782	1.176823031	1.311039893	1.653826177	1.652564761
Geissospermine	6.385372424	4.795963851	4.833537751	4.165721667	3.803251399	4.310825346	4.140879219	3.9530426	3.56795524	2.627702891	5.611675768	3.05767975	4.383395379	3.225194053	5.466669502	3.85097796	7.403740909	7.634867361	6.63128344	2.937081373	4.105294484	10.49553936	5.371712279	7.689813491	9.976863442	5.785737416	9.561574289	4.841556303	6.70365991	3.824112079	3.7505272	3.918887138	3.94525711	5.201065691	5.351372646	3.361410395	3.727360226	3.817187648	4.750346982	2.744996189	3.175106627	6.167134303	5.522872855	3.279098864	3.059880877	6.173088127	3.123068062	4.990807825	3.818942312	3.183142177	4.549302526	3.621262006	4.787761741	3.269471721	4.236721227	3.845778606	4.063238253	5.256384151	4.611718504	2.580172727	3.807108478	4.321733277	7.570659405	5.567688976	5.906945728	4.080269628	5.123372522	4.030940337	3.815726375	5.387512089	3.713037243	2.52699767	3.396868847	4.154350923	4.074603271	5.384169637	3.848830922	4.977158464	4.813892741	3.143734793	4.1323673	2.944784774	3.73588988	3.677746757	3.653169788	5.530221833	3.405299487	2.053669034	4.896619004
amifloxacin	15.09662243	15.99124067	20.00131015	19.49472827	24.23593781	22.21961571	23.46849919	24.85147667	22.67925864	29.81899912	20.83649457	21.93625442	45.45125998	15.04072018	23.56948978	45.15757171	14.00113413	36.5054115	12.29960911	16.8210426	9.671063941	19.96503218	46.46681346	30.45719559	33.668918	16.03032398	16.0614635	16.45402935	16.45472308	8.371846683	26.40582105	47.57223049	33.56627749	43.40393362	24.52739443	43.02981	48.00482046	26.04895852	20.36150705	40.25583372	13.91859406	15.19035729	13.89896896	30.88261402	23.20119377	11.44228919	24.50905327	19.7691437	37.62920641	20.66856579	13.83307257	13.89416437	8.613527624	12.71371792	13.00618162	22.57342039	10.12032044	17.20335586	16.57105105	31.19627385	10.83759636	28.1525728	6.045321579	13.5009143	22.12041625	18.10428015	12.35952637	6.594112958	30.97511943	12.11216013	49.12824461	22.9358107	36.85693965	6.648575071	16.66414471	10.09178413	15.50850741	21.73370438	9.043810504	41.56189372	25.56094861	28.2651198	24.60098522	55.17283538	12.80254643	12.21526964	22.16637098	20.79050036	15.14327781
22R-hydroxycholesterol	8.668100231	9.816106428	11.06027674	9.385474333	11.25144531	10.73407936	11.03624459	11.40633786	10.17532703	17.09823527	18.39638056	0.934045806	7.661796506	10.44803703	9.040309877	13.58341428	12.93311964	5.236522702	10.45480595	5.315922775	13.81447839	9.711195496	6.359689596	6.555564776	6.257457422	9.667856117	8.455458389	1.820829001	13.50616001	1.030537836	3.425802044	12.85876856	8.663201667	4.952376842	12.63943687	4.937216149	5.240361486	20.37766343	8.423068154	7.405619139	12.10709417	13.62902039	7.058169101	5.838481591	8.911335341	14.19161365	13.06248315	15.62301504	7.97862064	15.31604931	22.23429651	4.284753747	10.192907	12.59972857	10.50505032	20.11880236	11.56405095	7.852580868	8.172768672	6.864816412	16.99756511	15.64282726	4.916905288	10.72365674	10.47085509	9.721759555	9.597592181	7.02757432	15.55794243	4.629140412	9.143759759	11.6395809	9.083729682	3.858354958	11.77017682	8.852274703	8.436976223	20.426076	6.917238036	6.786963323	10.00820312	13.73105064	11.85324311	10.04747193	10.01472429	11.94129936	17.18520176	16.50390234	8.701416725
