metabolite_identification	QC01	QC02	QC03	QC04	QC05	QC06	QC07	QC08	QC09	AS1	AS2	AS3	AS4	AS5	AS6	AS7	AS8	AS9	AS10	AS11	AS12	AS13	AS14	AS15	AS16	AS17	AS18	AS19	AS20	AS21	AS22	AS23	AS24	AS25	AS26	AS27	AS28	AS29	AS30	AS31	AS32	AS33	AS34	AS35	AS36	AS37	AS38	AS39	AS40	FU1	FU2	FU3	FU4	FU5	FU6	FU7	FU8	FU9	FU10	FU11	FU12	FU13	FU14	FU15	FU16	FU17	FU18	FU19	FU20	FU21	FU22	FU23	FU24	FU25	FU26	FU27	FU28	FU29	FU30	FU31	FU32	FU33	FU34	FU35	FU36	FU37	FU38	FU39	FU40
7-heptadecynoic acid	18.27417178	19.12141995	18.33281012	17.84384476	19.64387774	18.20733177	18.18259313	19.12374995	20.21374814	14.08451207	12.21640771	10.2629928	12.09185627	14.5032514	14.38698973	18.77127585	13.68136592	8.345190153	9.900631719	12.567151	20.68947931	6.563373107	13.18010421	11.92498823	6.673236633	12.69062629	8.465044477	11.97170839	13.92780237	16.06777189	5.599568288	12.6841667	21.3178249	7.62235661	15.29967014	11.15842965	14.87602117	20.50502951	11.42844889	18.72550347	19.59737257	15.81453432	6.829114035	9.307057982	10.31177042	28.86534386	15.36820352	15.23953216	13.47251406	29.97266727	35.3914196	28.22034083	58.46549152	20.82852863	22.48222929	38.16781067	23.08273496	40.68996117	23.27010376	30.26671476	23.48526117	20.19670813	40.65714215	15.87434186	28.99495076	7.31730544	23.65634622	22.85266645	32.70777806	16.72491571	1.14E-09	8.558342123	13.39287994	10.57563841	9.3689352	63.48144531	12.5064759	23.20472525	16.98688097	13.20311732	21.33931011	34.8577768	12.7139139	24.03381494	10.09946084	45.86957526	19.22032299	23.18119276	26.08765869
11E-Hexadecenyl acetate	43.95295279	45.49099555	44.5150846	46.19140648	47.24890713	40.87210545	44.55565183	43.15100706	45.55384124	35.94476666	34.70199632	27.98780567	32.05503504	25.06003383	34.35648156	54.76592861	36.89939926	28.25109424	27.22628566	29.64505626	28.10774205	26.70558107	24.39711351	44.24347784	33.91955534	30.11481323	28.97694116	31.28481728	49.0118258	26.26421134	28.20478848	39.37382707	39.40063066	40.05844714	48.87084699	40.47498108	25.25951756	48.27234224	37.39146682	79.61329684	28.69407156	32.7346812	33.63019955	48.98576976	28.7589277	31.10406198	54.97170441	30.88925951	42.92166182	27.94359927	30.07202714	42.03292813	32.40622766	42.63908576	47.50914622	36.74317081	31.4068079	31.63517361	22.88301671	23.69156824	25.31825157	33.10606222	30.36215903	44.6673734	34.63169646	44.31269143	27.96888095	44.22640574	34.94472169	25.18654932	2.720558141	34.11368584	39.87268056	30.30416387	33.162538	30.94975898	40.9094717	40.75386917	28.66886238	61.64823619	23.78117967	45.04375709	38.00665483	46.66418646	28.65373658	44.22814202	62.64116325	42.55414006	34.74415494
Cholic acid	21.87756753	19.54841787	20.51470157	21.27226857	22.08780346	20.52883425	21.78807758	22.72899825	21.80411577	46.77076822	37.88675265	6.713720489	17.97035588	24.95475906	16.4139231	32.81741756	25.04810768	17.07220999	22.16180089	17.63333591	34.50593964	17.65197812	13.36025857	11.87689798	18.75473341	15.96561585	26.64141872	11.48852806	22.19379218	9.127686117	15.638354	22.74305023	25.66217121	17.81792638	17.77042273	18.61142697	19.27268407	37.3335467	23.55767935	16.21332065	18.81157342	28.20414487	16.78726902	14.06901453	26.18652436	36.29963711	28.84613278	21.85199167	10.90872151	42.46632358	40.24201651	8.757994091	22.44003213	23.50626513	23.68699449	42.26593668	23.4144238	21.24043235	16.57875617	16.73310766	31.24781423	21.20489415	13.33390152	14.7574776	20.07296518	19.75446624	23.35524287	16.70348095	23.14455537	13.02467579	1.14E-09	20.70674378	24.25049268	17.79567376	16.58117737	23.24899541	20.91177971	35.97754964	24.70375512	15.5146687	22.89701411	29.67088343	21.73981032	15.12554046	31.08318689	28.94192615	33.90502636	25.45439712	15.10178957
"20:2(5Z,9Z)(11Me,15Me,19Me)"	44.25113357	38.31316558	40.1261617	40.5895391	40.16981705	39.90027544	39.09155801	40.80361382	42.18947296	34.33010759	53.15799289	15.40961565	48.11011374	36.11140455	39.03782564	111.2005967	53.93760552	24.28312305	25.65086101	19.49198056	39.77047402	30.04135314	44.5497747	43.53159196	27.31485	117.1766087	23.65234638	20.0014827	31.23768576	14.34225427	51.56914921	27.03069106	32.31770127	16.71650992	53.36565345	30.47946433	36.53693221	63.8264689	33.58514101	28.47553527	36.82541139	55.73834717	39.78874555	40.48001326	38.62280846	52.61411446	45.18709299	34.49624641	31.28634519	30.34512718	60.66903519	23.98979289	47.95913718	51.32802875	50.04281241	105.6364759	58.60512007	25.96012212	24.03662908	20.73754195	42.23011488	43.56948045	42.4191595	47.20659541	28.26997831	151.8692914	19.40251343	28.29868958	36.13416381	14.96110316	0.456875921	22.75392768	34.11820886	13.96667682	63.23322571	28.1432805	37.25549999	57.08294795	29.37281268	24.98383476	35.84692616	81.87325726	75.27358855	54.98173447	42.55755107	48.34760008	59.94743248	43.57392128	28.1057024
"2-methylbacteriohopane-32,33,34,35-tetrol"	149.3410023	102.6697536	119.674264	119.899662	139.3010214	121.0188573	137.6427713	143.9278967	129.578719	42.76508403	58.88511688	31.97494423	43.63645893	49.08463184	168.2649316	108.8886802	72.04500803	56.56756443	31.98091902	37.56965133	35.37229501	45.62217668	67.56648093	301.0495222	23.10170596	155.8961084	37.63714682	43.24270724	73.92032842	24.53341532	24.06633044	39.79438796	105.2681856	5.074604656	114.710117	27.9332193	27.53668077	84.94334925	82.28588001	135.0326795	73.95166816	101.1799044	71.79548702	74.1459158	44.0053762	64.99739179	91.29831236	60.6232701	48.53041237	23.88389206	91.68348953	65.56854957	57.2062775	190.7424802	164.4040823	146.6729413	51.37735711	88.63505677	60.78784714	58.83130874	36.16978902	83.83646732	39.33634776	250.1872281	23.46314766	229.1807442	36.97440315	75.97123406	42.06234443	40.06861328	0.206149699	33.36812679	54.80949868	5.868340814	130.2021147	35.15683608	30.53131252	68.28732633	59.51240136	69.98297831	52.56762675	164.3055315	125.7728063	86.01420878	43.28835575	42.58171834	132.9044142	81.18816828	30.4047444
"PE(18:3(9Z,12Z,15Z)/18:0)"	10.74277954	17.20826498	15.13540069	12.26601543	13.24028031	10.67485539	9.721435088	11.84972734	19.80740325	19.54940102	31.89037008	24.79439173	18.95472375	22.68100485	15.28076243	12.91974207	18.6943361	15.26952242	22.37635594	27.27996442	21.06443854	18.22384715	22.66584942	13.92626288	21.87418697	21.20632215	12.89264453	59.2565037	13.64733076	28.17143207	23.42743587	13.95155427	15.83578507	22.86000828	22.25653594	19.24337281	22.8982373	8.707978876	27.79981465	14.98228028	12.29622821	15.32793041	17.38044572	16.84607489	12.40293993	16.04848496	14.61754083	11.10319102	18.61311188	18.79246536	14.03398441	27.8670279	15.90882389	22.52704291	23.02897421	10.94044605	23.22182931	29.65081109	29.83056445	21.84755608	13.74350107	19.70376711	32.23571525	16.62871807	29.98823833	12.99183966	25.91470256	22.63029632	17.0430733	17.68933472	29.48935005	21.44780735	20.14283652	21.16568528	15.3469313	18.69179265	15.28831269	15.05703781	40.93077997	16.66604258	16.74033136	15.24009023	23.79342997	13.1522114	18.3042707	19.42077687	10.16121861	23.25897866	24.60251841
Axillarin 7-sulfate	8.341647556	9.04855778	8.598756073	8.450380811	8.062748927	8.692795971	8.469045879	8.416744407	8.462311137	1.177946449	38.107883	132.0277032	17.36436788	1.14E-09	12.95507167	1.14E-09	40.12348222	2.727935754	56.26652732	32.11544649	33.80744663	3.30385309	1.741695256	5.6392757	0.541412201	30.64545827	10.69594849	12.90314408	8.843418143	48.29508505	35.98028192	0.358705476	1.14E-09	0.045766057	1.14E-09	1.14E-09	1.14E-09	17.52952689	0.355886764	0.226893076	20.36898171	0.021712819	0.09246912	1.14E-09	1.14E-09	0.199829036	0.098657942	1.14E-09	46.73153861	1.14E-09	1.425884566	0.230494104	0.008315493	0.257293764	0.062165107	1.14E-09	1.14E-09	1.14E-09	1.14E-09	0.085517514	1.14E-09	0.07210458	1.14E-09	1.14E-09	0.078538362	1.14E-09	1.14E-09	1.14E-09	0.025364121	0.259819452	1.14E-09	0.283236806	1.14E-09	0.033726261	0.021738611	1.14E-09	0.187703761	100.0545551	0.054574658	0.141680117	1.14E-09	1.14E-09	2.671470797	0.103548889	0.114716108	0.033273527	1.14E-09	1.14E-09	0.226428229
Androsterone 3-glucuronide	2.504757572	1.514055097	1.456117522	1.449203201	2.604309779	2.016626621	2.473634411	2.396327213	2.408232403	0.957721701	3.195636583	2.449536908	4.059912517	0.269850552	0.901786915	0.822947261	0.957167932	0.534264517	0.411199473	0.705865643	1.143325685	0.961282096	0.029762643	1.136997829	1.159901762	0.81231587	2.973916906	0.261759731	1.168737492	0.782110081	0.113802842	2.765205393	3.529075719	1.801003737	0.468702203	0.850520806	0.430277993	2.98931431	1.561421539	3.609874976	0.613986164	1.550568019	3.569461556	1.052711882	2.495192628	2.165197249	0.904162872	1.874324887	0.40345888	0.643954711	3.796184924	2.236460931	9.977445874	2.028909358	2.81319862	2.021116655	10.07720085	1.502475538	0.655856355	0.383862087	1.135861441	3.371388712	3.704589854	3.036954151	1.73979007	1.236060626	2.840798691	0.31626778	1.517722845	0.846082809	1.14E-09	2.232359202	4.159449456	4.31690354	1.419147657	1.508923695	0.886172463	12.38198122	3.860023695	3.449526787	1.02905566	2.391566927	3.629862465	2.499624109	3.102281514	2.344646079	3.333691962	2.447642333	1.501372117
Ptilosaponoside B	1.873038057	2.146122414	1.817226498	1.740492242	1.926200714	2.184771094	1.14374379	1.143019687	1.600856603	3.298926965	0.704501042	1.14E-09	2.357304509	0.115445319	0.7310631	0.248624359	3.305394338	0.767667554	2.612477646	9.090656866	1.470076664	6.625500828	1.991150815	0.846135338	0.171114586	1.390870769	0.732534102	0.315608822	2.707091917	1.270997786	1.3709597	2.135010046	0.567449589	0.496603642	0.534794466	1.14E-09	0.073510675	2.979797586	1.169723839	0.266601187	2.475628061	0.287254302	0.105011453	0.427099372	0.26792591	2.295672005	0.228579121	0.09189765	2.201413665	6.400636172	0.85244681	0.3125596	3.557020533	0.451622873	0.707580942	0.754417458	0.916350081	0.300989366	2.191103166	26.77740415	0.278760337	5.075395364	1.57504432	13.3153174	0.309985512	0.405475425	0.223554589	0.525842438	4.10942276	0.948217457	1.14E-09	1.246808485	0.415235777	4.54216169	0.627380106	0.523337412	1.14E-09	0.056354356	0.203157546	0.358927818	3.730705484	0.266101363	0.0337636	0.263673208	0.109863281	7.749816417	0.513421098	1.218057783	1.912053484
Collettiside I	1.767541975	2.359429291	2.568359395	2.703202125	2.462451689	2.255223715	2.279063531	2.519578267	2.914596473	2.124927602	3.032447291	0.701572365	4.770392282	0.494777494	0.479743047	0.705930319	2.125452246	1.52511848	3.446914203	2.634374967	0.456963542	4.244365537	26.58854714	4.100128233	0.454428227	1.390614435	0.891536825	0.93493464	1.204917834	0.597653189	1.600334274	0.071688256	0.84372445	0.159031037	0.431903726	1.026814232	0.607347159	0.050008987	0.376007143	6.128241061	1.267220854	3.279182046	0.370883828	0.819985242	0.382283387	2.654841676	4.923953705	1.456671651	0.456284234	3.634933284	3.643221168	1.068455191	10.24528186	2.683766219	2.831730969	3.311263499	3.272304559	7.284937441	6.598738562	3.358660147	0.622586223	3.234868949	5.985894575	3.634852942	0.881596325	1.029680789	2.755846002	1.867255225	1.965047471	0.527493918	1.14E-09	0.320564452	2.979969091	1.66382958	1.185081239	4.672682033	0.345175071	1.934086352	1.164524048	4.256319125	1.083537365	5.895625618	0.759536758	2.49267139	1.387700968	1.365466865	3.119116141	2.276613356	2.177092524
