metabolite_identification	QC-3	QC-4	QC-5	QC-6	QC-7	QC-8	QC-9	QC-10	AS1	AS2	AS3	AS4	AS5	AS6	AS7	AS8	AS9	AS10	AS11	AS12	AS13	AS14	AS15	AS16	AS17	AS18	AS19	AS20	AS21	AS22	AS23	AS24	AS25	AS26	AS27	AS28	AS29	AS30	AS31	AS32	AS33	AS34	AS35	AS36	AS37	AS38	AS39	AS40	FU1	FU2	FU3	FU4	FU5	FU6	FU7	FU8	FU9	FU10	FU11	FU12	FU13	FU14	FU15	FU16	FU17	FU18	FU19	FU20	FU21	FU22	FU23	FU24	FU25	FU26	FU27	FU28	FU29	FU30	FU31	FU32	FU33	FU34	FU35	FU36	FU37	FU38	FU39	FU40
Beta-glutamic acid	0.003574829	0.003657245	0.004063648	0.003878891	0.004205545	0.004234122	0.004684654	0.00554932	0.009643136	0.00823793	0.005032857	0.00726785	0.004476383	0.005803344	0.003376445	0.007258677	0.00262053	0.003533576	0.003121328	0.00345141	0.0026737	0.006099152	0.002244318	0.002370675	0.006089799	0.002720263	0.00439483	0.002694059	0.002925688	0.007039416	0.00318301	0.003254947	0.00260624	0.002428577	0.002680357	0.002146689	0.002983669	0.011715027	0.006020083	0.003221169	0.003845057	0.005892124	0.003423813	0.004674131	0.003900321	0.006379071	0.004242221	0.002542067	0.00492444	0.003606781	0.003394616	0.003499151	0.002690448	0.003458312	0.004059635	0.00420235	0.007529394	0.004218139	0.003666514	0.003054208	0.003792538	0.00377216	0.004114639	0.002838808	0.004494943	0.004691032	0.004296554	0.00420134	0.003518959	0.007212198	0.0046331	0.003782295	0.003612997	0.003506579	0.003036171	0.003484617	0.00396739	0.004708289	0.003823766	0.003048703	0.003839923	0.004795038	0.004306379	0.004085252	0.004983765	0.004560867	0.005684948	0.004220026
1-hexanol	0.001621148	0.001503591	0.001494176	0.001599987	0.001606132	0.00161691	0.001570176	0.001633873	0.001605484	0.00150759	0.001456218	0.001460405	0.001684556	0.001518514	0.001881697	0.001629963	0.001807625	0.001995845	0.002036275	0.002085014	0.001494447	0.00163685	0.001890444	0.001932113	0.001680524	0.001850581	0.001651754	0.001874502	0.001987617	0.001666711	0.00193051	0.001898405	0.001823699	0.001804447	0.001858515	0.001658995	0.001904451	0.001865145	0.001772073	0.001949234	0.001966739	0.001761998	0.001977629	0.002022311	0.002078904	0.001618654	0.001826197	0.001343036	0.002228532	0.001758342	0.001909045	0.001963865	0.002032057	0.001836076	0.001981784	0.001901408	0.001434614	0.001838473	0.001885292	0.001719148	0.001857567	0.001834898	0.001997338	0.002113986	0.001936199	0.002193654	0.002485336	0.002078259	0.002053204	0.002225307	0.002143473	0.001868418	0.00202889	0.001896665	0.002120776	0.001863765	0.001970572	0.001836972	0.001884885	0.001781162	0.00202069	0.002146999	0.002093561	0.002105787	0.002242149	0.001856976	0.00176225	0.00199265
Cyclohexylamine	0.0000169	0.0000181	0.0000175	7.94E-10	0.0000052	0.00000544	0.0000405	0.0000101	0.0000429	0.0000321	0.0000311	0.0000327	0.0000148	0.0000738	0.0000692	0.000026	0.0000194	0.0000334	0.0000178	0.0000479	0.00000388	0.0000148	0.000160998	0.000209422	0.0000226	0.000255282	0.0000278	0.0000674	0.000360086	0.000036	0.000114425	0.00000737	0.0000106	0.0000155	0.001080545	0.00016176	0.000989954	0.00090822	0.000514559	0.001770151	0.001308882	0.000355929	0.001660841	0.001635963	0.000593105	0.0000838	0.0000223	0.0000775	0.001962283	0.001049415	0.001522437	0.003354556	0.001372952	0.002320795	0.001753437	0.001892298	0.000086	0.00149103	0.001083509	0.000910035	0.001017794	0.001550576	0.002131009	0.001456774	0.002041586	0.001284129	0.00275781	0.001771598	0.001205033	0.00082698	0.002166351	0.001224793	0.000999251	0.000476054	0.000388884	0.003468201	0.003179128	0.002151626	0.002401112	0.002023505	0.002136446	0.003461123	0.002744712	0.003753372	0.001496501	0.0000394	0.000692777	0.000945603
Nicotinamide	0.043902097	0.043678285	0.044818977	0.045054011	0.046294581	0.045957289	0.046256629	0.04630705	0.053686032	0.049673158	0.045130595	0.046041965	0.049211784	0.04811308	0.049357162	0.047588154	0.050487983	0.051547916	0.049240328	0.049964169	0.043816578	0.046644854	0.04812835	0.048094213	0.049319349	0.0493136	0.048302727	0.047286982	0.046843619	0.049051055	0.05512047	0.051246636	0.047247729	0.049303158	0.048773676	0.048349847	0.04773313	0.050305698	0.047397031	0.04928017	0.049608074	0.048253853	0.046915123	0.04873266	0.050132381	0.047160679	0.049068937	0.044697122	0.059355284	0.050572455	0.04661425	0.048041987	0.04772074	0.046720389	0.047520248	0.049698789	0.046969937	0.049673455	0.050010049	0.047100258	0.051710366	0.0447211	0.049537355	0.050021053	0.051625322	0.052389517	0.054362268	0.049308417	0.051078558	0.06026583	0.050722002	0.050346901	0.052258784	0.047441485	0.048546463	0.042071893	0.048730588	0.048642468	0.044329561	0.044307789	0.04874127	0.05662158	0.05058851	0.05488862	0.055927323	0.049951976	0.047668339	0.054369156
2-deoxyerythritol	0.000120804	0.000258779	0.00014965	0.000138074	0.000313619	0.000281191	0.000282913	0.00000977	0.0000599	0.000120486	0.000134745	0.0000984	0.000106126	0.000153193	0.000139841	0.000184048	0.000142217	0.000218443	0.0000571	0.000198347	0.000176708	0.000106866	0.000112198	0.0000799	0.000120653	0.000167835	0.000144369	0.000129263	0.0000614	0.000106067	0.000117956	0.000239313	0.000179617	0.000230325	0.000028	0.0000184	0.0000119	7.94E-10	0.0000121	0.000211715	0.0000906	0.0000281	0.000131235	0.0000646	0.0000195	0.0000124	0.0000507	0.0000298	0.000031	0.0000767	0.0000254	0.0000938	0.0000776	0.0000347	0.000143895	0.0000104	0.000024	0.000219555	0.0000678	0.000196195	0.0000929	0.0000417	0.000150552	0.000216191	0.000184661	0.0000194	0.0000259	0.0000167	0.000105713	0.00000638	0.0000866	0.0000075	0.000236495	0.000058	0.000106409	0.0000334	0.0000818	0.0000487	0.0000169	0.000146118	0.0000292	0.0000625	0.0000319	0.000111417	0.0001712	0.0000318	0.0000291	0.000153549
Xi-3-heptanol	0.001702217	0.001668406	0.00168846	0.001676229	0.001825121	0.001798787	0.001549687	0.001837886	0.001609796	0.001271001	0.001312111	0.001954636	0.001479061	0.001594279	0.001554912	0.001500555	0.001622033	0.001651672	0.001666008	0.001627212	0.001341054	0.001231248	0.00148127	0.00144413	0.001611769	0.001475382	0.00128008	0.001681853	0.001410341	0.001341993	0.001617396	0.001513041	0.001456862	0.00145263	0.001817237	0.001559377	0.00188762	0.001787547	0.001552431	0.001968779	0.00169452	0.00150823	0.001609903	0.001643828	0.001764043	0.001691125	0.001861593	0.001237497	0.001934745	0.001954918	0.001512763	0.001522422	0.00158782	0.001740188	0.001483904	0.00176213	0.001463237	0.001591455	0.001966236	0.001662126	0.001674403	0.001638322	0.001597713	0.001674534	0.001738317	0.001832991	0.001898449	0.001783682	0.001927556	0.002183451	0.001955381	0.001779725	0.001745247	0.001701894	0.001756502	0.001682462	0.001621018	0.0016968	0.001624191	0.001449067	0.001871424	0.002011998	0.001722633	0.001795943	0.001851056	0.001780032	0.001925004	0.00181953
Epsilon-caprolactam	0.000347365	0.000369881	0.000449309	0.000456504	0.000457936	0.000492819	0.000560887	0.0005636	0.000428049	0.000491134	0.000480161	0.000352319	0.000472123	0.000482191	0.0000526	0.00052349	0.00047685	0.000473111	0.000492263	0.000459075	0.000438518	0.000503801	0.000470619	0.00047063	0.000515869	0.000472142	0.000483849	0.000413553	0.00042091	0.000434154	0.000488365	0.000561968	0.000485351	0.000419283	0.000612042	0.000532427	0.000560162	0.000542878	0.00052834	0.000573667	0.000509707	0.000571292	0.000503819	0.000546696	0.000647127	0.000532591	0.000511102	0.000407463	0.000629972	0.00053557	0.000617858	0.00050364	0.000467428	0.000592711	0.000472036	0.000556746	0.000485247	0.000542221	0.000526245	0.000586203	0.000491595	0.000619206	0.000576899	0.000618957	0.000577546	0.000669988	0.000661347	0.000681644	0.000650119	0.000813597	0.000611077	0.000653376	0.000641166	0.000629444	0.000585655	0.000603106	0.000565588	0.000567142	0.000574217	0.000515146	0.000662417	0.000708613	0.000645227	0.000602306	0.000611357	0.00042903	0.000577815	0.000565348
Piperidone	0.006474355	0.006641787	0.006826089	0.006901167	0.007261724	0.007017214	0.00726857	0.007007455	0.006426359	0.005732965	0.005492934	0.005345913	0.006137809	0.005547711	0.00651112	0.005542986	0.00673231	0.006523522	0.006417399	0.006435881	0.005888498	0.006125125	0.00631005	0.006293435	0.006614767	0.006526246	0.006032734	0.006471178	0.006257992	0.006467182	0.007278979	0.007164928	0.006501964	0.00647784	0.006904828	0.006456946	0.006813457	0.00686888	0.006198263	0.006690344	0.006426855	0.00637498	0.006143632	0.006533855	0.006865156	0.006327492	0.006746674	0.006133893	0.008403188	0.006773987	0.006307856	0.006193981	0.006061881	0.006349107	0.006389784	0.006896734	0.006183048	0.006744955	0.006905622	0.006476081	0.006779124	0.0063263	0.006778249	0.006716529	0.006698062	0.007433279	0.007889324	0.007068097	0.006714078	0.008041274	0.006456468	0.00696323	0.00692704	0.006639458	0.006430163	0.006036183	0.006345933	0.006527723	0.00607802	0.005820646	0.006821672	0.007561368	0.007164803	0.007199241	0.007481502	0.006820398	0.006536953	0.007334033
Salicylic acid	0.00050913	0.000488729	0.000502434	0.000553326	0.000561442	0.000616376	0.000493918	0.000582098	0.000615603	0.000484435	0.000444	0.000404533	0.000490383	0.000464071	0.000513152	0.00053483	0.000473393	0.000518049	0.000458819	0.00048516	0.000411246	0.000456949	0.00048645	0.000484318	0.000463921	0.000466338	0.000362792	0.000505783	0.000478218	0.000468339	0.000494804	0.000557611	0.000520075	0.000476742	0.000515684	0.000467333	0.000512874	0.000400284	0.000407077	0.000503958	0.000485173	0.000439105	0.00042744	0.000449181	0.000530084	0.000389767	0.000476127	0.000493619	0.000596231	0.000560791	0.000447827	0.000403699	0.000477955	0.000438258	0.000439396	0.000527824	0.000463382	0.000489046	0.000479213	0.000446171	0.000494291	0.000515578	0.000512029	0.000570684	0.000516124	0.000554722	0.000581862	0.000458834	0.000534875	0.000646566	0.000435569	0.000555915	0.000559304	0.0005491	0.00051862	0.000387004	0.000501295	0.000527812	0.000440564	0.000439549	0.000467676	0.000581743	0.000491294	0.000544852	0.000587792	0.000532673	0.000507186	0.000532653
1-propylamine	0.006480094	0.006463589	0.006990192	0.007113361	0.007017885	0.007518402	0.007594674	0.007383024	0.006908647	0.006622429	0.006032327	0.0063558	0.006824011	0.006605382	0.006020816	0.006940052	0.00730992	0.007342073	0.006846475	0.007241253	0.006879545	0.006863828	0.007155387	0.006346718	0.007487017	0.007754718	0.007826816	0.007267544	0.006870038	0.0000972	0.008721017	0.008581584	0.007793588	0.008896201	0.006423573	0.006829775	0.006661626	0.007294332	0.006947459	0.006363423	0.007151677	0.007596852	0.006716067	0.007197822	0.007378454	0.007368671	0.007931943	0.006114907	0.008157845	0.006525653	0.00650048	0.006377847	0.006223065	0.006107261	0.006640771	0.006727815	0.007085639	0.006472997	0.006673014	0.006364658	0.007279858	0.005396946	0.006637219	0.007092591	0.007419756	0.008397991	0.007825703	0.007529798	0.00766919	0.008606802	0.006687293	0.006684717	0.007935621	0.007150476	0.007419454	0.005411291	0.006131473	0.006526822	0.005716281	0.005662955	0.006561493	0.007219485	0.007545026	0.008053925	0.007864765	0.00698129	0.006827941	0.007975095
