metabolite_identification	QC-3	QC-4	QC-5	QC-6	QC-7	QC-8	QC-9	QC-10	AS1	AS2	AS3	AS4	AS5	AS6	AS7	AS8	AS9	AS10	AS11	AS12	AS13	AS14	AS15	AS16	AS17	AS18	AS19	AS20	AS21	AS22	AS23	AS24	AS25	AS26	AS27	AS28	AS29	AS30	AS31	AS32	AS33	AS34	AS35	AS36	AS37	AS38	AS39	AS40	FU1	FU2	FU3	FU4	FU5	FU6	FU7	FU8	FU9	FU10	FU11	FU12	FU13	FU14	FU15	FU16	FU17	FU18	FU19	FU20	FU21	FU22	FU23	FU24	FU25	FU26	FU27	FU28	FU29	FU30	FU31	FU32	FU33	FU34	FU35	FU36	FU37	FU38	FU39	FU40
N-formylglycine	0.000451431	0.000504936	0.000657874	0.00085118	0.001091592	0.001393034	0.001736851	0.001930702	0.000268268	0.000245089	0.000201841	0.00033235	0.000308224	0.000434933	0.000226173	0.000358484	0.000213897	0.000198508	0.000523227	0.000150913	0.000244015	0.00039206	0.000229717	0.000318072	0.000421071	0.000240863	0.000278259	0.000201108	0.000474929	0.000503445	0.000246726	0.000277527	0.000226428	0.000240939	0.000292729	0.000144808	0.000194728	0.000593668	0.000726848	0.000777766	0.000989023	0.000628026	0.000792001	0.001040611	0.000939148	0.000862682	0.001010136	0.000292568	0.000890029	0.000147374	0.000163364	0.000854442	0.000808556	0.001034373	0.000953293	0.001123	0.000734824	0.001043431	0.000944135	0.000879431	0.00105978	0.000906534	0.000953637	0.000791723	0.001137429	0.001271633	0.001238379	0.001395454	0.001049978	0.001252888	0.00116356	0.001254074	0.001220143	0.001092855	0.00106653	0.001143316	0.001323216	0.001124731	0.001248875	0.001124599	0.001567928	0.001622153	0.001678186	0.001671252	0.001508688	0.001524964	0.001566275	0.001508424
Pentadecanoic acid	0.000225253	0.000279502	0.00028687	0.000321816	0.000330952	0.00034873	0.000378359	0.000389619	0.000173753	0.000172926	0.00015342	0.000244613	0.000187566	0.000360313	0.000258447	0.000366995	0.000179637	0.000251256	0.000233838	0.000211096	0.000188296	0.0002384	0.000150645	0.000333464	0.000346261	0.000272689	0.000226565	0.000270764	0.000205805	0.000356692	0.000366709	0.000319233	0.000134085	0.000245358	0.000208836	0.000213566	0.00027406	0.000295353	0.000412091	0.000399502	0.000271162	0.000316481	0.000380715	0.000328235	0.000295798	0.000208831	0.00033225	0.000205118	0.000654049	0.000275826	0.000403022	0.000639461	0.000361969	0.000356846	0.00044938	0.000394446	0.000352035	0.000767397	0.000384297	0.00062835	0.00050345	0.000324328	0.000447371	0.000526299	0.000619215	0.000286512	0.000470599	0.000373557	0.000459649	0.000921655	0.000548998	0.000288711	0.000306908	0.000456693	0.000540822	0.000237102	0.000407775	0.000304479	0.000329301	0.000406606	0.000202818	0.000566414	0.000363319	0.000832363	0.000513283	0.000264079	0.000505223	0.000905053
L-threonine	0.22264912	0.225688866	0.237223715	0.246287574	0.254846362	0.257019139	0.266615449	0.2698518	0.229165011	0.20663435	0.116335003	0.14823299	0.254507264	0.155989804	0.31249915	0.223333191	0.188359278	0.21104493	0.292811514	0.2277828	0.28187233	0.22747776	0.270497122	0.443829503	0.170640304	0.319206821	0.181104908	0.269620489	0.19037026	0.177101634	0.279150994	0.228899847	0.218456156	0.232809334	0.278709742	0.072133044	0.320137643	0.172973895	0.157361158	0.124742791	0.112615984	0.280671222	0.186037848	0.251300269	0.1859385	0.13746497	0.198410929	0.159405416	0.285690703	0.160686681	0.1983215	0.151739217	0.128452077	0.24268542	0.182614701	0.286702849	0.171839855	0.298689407	0.137111367	0.172574915	0.165933252	0.111986739	0.130908831	0.112791462	0.181986501	0.224092503	0.340556493	0.202857551	0.206736852	0.138006824	0.191358586	0.127519644	0.207470408	0.153189484	0.126664149	0.130732683	0.223664676	0.130619957	0.155207163	0.251811829	0.163929725	0.276885265	0.167448622	0.187831034	0.142104637	0.175216709	0.158369401	0.135130589
Isothreonic acid	0.000961856	0.001054949	0.00099129	0.000904127	0.00113202	0.00087172	0.001092009	0.00103874	0.000321543	0.000291599	0.000519316	0.000480192	0.000376591	0.000560678	0.000557145	0.000504563	0.00032563	0.000374776	0.000228293	0.000296615	0.000233322	0.000427057	0.000301804	0.000221331	0.000366747	0.0003792	0.000596487	0.00034544	0.000458232	0.000607329	0.000341682	0.000759626	0.000318323	0.000652472	0.000404442	0.000599793	0.000259177	0.00072634	0.000480819	0.000436432	0.000254462	0.000651446	0.000599062	0.000156689	0.000393062	0.000531919	0.000592796	0.000143391	0.000600739	0.000459086	0.004247102	0.016438257	0.000493664	0.004284601	0.000691428	0.00203829	0.00049508	0.006658447	0.000446933	0.000802636	0.000437585	0.000461788	0.000685295	0.000373899	0.00068606	0.000695569	0.000413172	0.001248133	0.000548801	0.00271747	0.000285112	0.000359763	0.000641809	0.000596437	0.00024286	0.000414639	0.000428823	0.000315623	0.000524241	0.000654923	0.000246261	0.000845687	0.000176639	0.00098929	0.006592575	0.000225344	0.00029363	0.0005679
"5,7-dihydroxy-4'-methoxyisoflavone"	0.000198086	0.000177531	0.00021754	0.000228709	0.000259688	0.000276854	0.000271849	0.000261284	0.000290548	0.000226126	0.000295176	0.00021937	0.000228152	0.000257907	0.00021977	0.000230059	0.000179478	0.000222849	0.000166406	0.00016782	0.000198881	0.000226433	0.000182968	0.000224416	0.000222896	0.000181764	0.000269113	0.00017155	0.000158808	0.000254829	0.00022531	0.000287025	0.000217085	0.000168099	0.000211141	0.000186126	0.000159372	0.000209786	0.000193104	0.000170556	0.000170125	0.000233932	0.000178245	0.000162578	0.000173757	0.00023624	0.000213109	0.000256715	0.000206486	0.000172794	0.000207659	0.000170991	0.000141933	0.000184292	0.000209743	0.000208924	0.000230518	0.000191779	0.000183015	0.000180096	0.000201468	0.00018955	0.000196313	0.000196034	0.000202335	0.00023967	0.000235287	0.00021227	0.000271885	0.000317444	0.000179567	0.000213027	0.00024026	0.000199027	0.000207733	0.000238062	0.000194069	0.000279492	0.000182889	0.000205513	0.000207325	0.000219361	0.000233664	0.000235508	0.000279429	0.000247127	0.000222207	0.000236045
N-carbamoylaspartate	0.000344409	0.000768238	0.000585829	0.000817421	0.000911663	0.000926016	0.000973915	0.001408047	0.015979872	0.024612852	0.009656824	0.020485156	0.003888589	0.018265918	0.001669122	0.022916746	0.000435505	0.007866914	0.000953214	0.004099545	0.004121401	0.012798487	0.000839419	0.002663661	0.01013185	0.000931864	0.006768771	0.001134821	0.000773747	0.009595082	0.00094775	0.001072797	0.003249881	0.001513415	0.001190457	0.000265046	0.000601659	0.003931076	0.005074622	0.01266665	0.003567847	0.011802671	0.00460514	0.001230377	0.002073374	0.012038655	0.001324331	0.000697014	0.006319254	0.004094988	0.005781734	0.009304476	0.013011677	0.004148438	0.0095819	0.003908158	0.016582343	0.011596668	0.005686401	0.008307298	0.008586313	0.004754096	0.006430534	0.005864786	0.008283881	0.000770984	0.001841417	0.000869611	0.005827156	0.010424886	0.007465418	0.002851432	0.008270731	0.005056262	0.004387207	0.001481377	0.003643709	0.002117283	0.000901576	0.005958606	0.000903803	0.007793976	0.001720224	0.010468658	0.012768532	0.007105573	0.007123318	0.007931638
Glutaric acid	0.000532882	0.000493929	0.000537657	0.000596901	0.000673763	0.000693139	0.000742701	0.000784667	0.000710701	0.000451403	0.000321345	0.000604966	0.000386171	0.000372929	0.00057494	0.001172508	0.000505134	0.000475075	0.000579638	0.000294727	0.000292662	0.000440223	0.000437653	0.000489913	0.000417926	0.00052475	0.000233144	0.000992894	0.000493057	0.000234226	0.000324415	0.000328265	0.000391477	0.000310734	0.000300585	0.000283364	0.000450705	0.000835144	0.000748309	0.000301233	0.000526666	0.00049449	0.00064231	0.000593697	0.000375187	0.000487247	0.000402676	0.000587625	0.000696097	0.0006177	0.000659329	0.001639884	0.000440015	0.000342025	0.000596649	0.000587866	0.000519084	0.000447672	0.000487936	0.000488339	0.000595367	0.000471363	0.000421206	0.000481157	0.000543647	0.000598115	0.00042236	0.000791278	0.000544914	0.000752347	0.000645889	0.000896778	0.000574394	0.000472848	0.000569957	0.000677629	0.00076513	0.000573018	0.00061378	0.000357474	0.000551708	0.001143345	0.000750361	0.000870931	0.000851605	0.000654774	0.000812867	0.001003158
Putrescine	0.025290436	0.029419685	0.032210068	0.033488919	0.035517397	0.036691776	0.037774892	0.038835626	0.027527834	0.024033598	0.022203508	0.022419698	0.021733281	0.024429297	0.025676149	0.02386772	0.02632239	0.024822234	0.025148429	0.026195164	0.024725357	0.027798658	0.027872189	0.026574958	0.029553562	0.029819557	0.027891446	0.029206555	0.026717377	0.030868279	0.03424122	0.033578712	0.029869674	0.029954261	0.033623434	0.029474643	0.030924407	0.031489608	0.030431358	0.030454087	0.030048938	0.030600145	0.029432726	0.030862288	0.033887278	0.029217294	0.032797047	0.029092255	0.03524475	0.0262021	0.025205404	0.025332729	0.023810538	0.027013589	0.026472722	0.030298782	0.027851965	0.025394749	0.028537006	0.026256772	0.02887908	0.026873197	0.027856922	0.030324223	0.029700694	0.035123525	0.036232963	0.034586126	0.03297613	0.041357664	0.029046724	0.033867594	0.031584746	0.028684064	0.029510261	0.0300528	0.029662967	0.031299299	0.030520509	0.025078005	0.035330425	0.035883993	0.035972	0.034212259	0.034368638	0.030441795	0.029403051	0.035016665
"1,2,4-butanetriol"	0.001449271	0.001489607	0.001509591	0.001657076	0.001699532	0.001798762	0.001882259	0.001911549	0.002102183	0.001277563	0.002520833	0.001564397	0.000561235	0.002433321	0.004663465	0.00218055	0.001023466	0.000946702	0.000855829	0.000963777	0.000794222	0.001769877	0.001416894	0.00078162	0.001456121	0.001066714	0.000687762	0.001243495	0.000822926	0.00245787	0.000943406	0.001239621	0.000755102	0.000874847	0.000998765	0.001066819	0.001039016	0.001452517	0.004931961	0.001288235	0.001584762	0.002110256	0.002755588	0.001055249	0.002713483	0.001941008	0.001143484	0.001112036	0.001764894	0.001028343	0.001929708	0.002885031	0.000870908	0.002182658	0.00362907	0.002744699	0.001113584	0.003763498	0.00071671	0.000798441	0.001375205	0.002168405	0.002584512	0.000726521	0.002967982	0.001184959	0.005941843	0.001200138	0.000956435	0.003163876	0.001364477	0.000938016	0.001159405	0.000986213	0.000760803	0.002533185	0.00126996	0.001453853	0.003323347	0.000763609	0.001167819	0.001469558	0.002430991	0.002437724	0.002037519	0.00100967	0.001352696	0.001903646
Chavicol	0.0000845	0.000247561	0.000314889	0.000275271	0.000232997	0.000158925	0.000156271	0.000184771	0.000112745	0.000192811	0.000133418	0.000255413	0.000160714	0.000323701	0.0000729	0.000467104	0.0000624	0.001270238	0.000224139	0.001335369	0.000041	0.000253126	0.000100048	0.0000956	0.000079	0.000464903	0.000107483	0.0000641	0.000139679	0.0000654	0.000128105	0.000109982	0.0000382	0.000127162	0.0000856	0.0000611	0.0000498	0.000964279	0.000201837	0.00343332	0.001445199	0.00025203	0.00083659	0.001148141	0.000463286	0.000407825	0.000552975	0.0000354	0.001693793	0.001833418	0.002149012	0.002521461	0.003916159	0.001876552	0.005393089	0.003238617	0.000101418	0.00305697	0.00324098	0.004454851	0.003785451	0.00376931	0.004023803	0.005285594	0.004864643	0.000352172	0.000769216	0.000291541	0.004776944	0.000320006	0.004865151	0.003335787	0.005947033	0.003527011	0.004874718	0.000720318	0.004215384	0.002821807	0.000332974	0.004338756	0.000242798	0.004765283	0.000774696	0.006430997	0.005417887	0.001197325	0.000925903	0.005922941
5-aminovaleric acid	0.010999297	0.011066224	0.011705509	0.012079514	0.012812846	0.013091081	0.013735025	0.014417193	0.011279886	0.008844402	0.005839608	0.005983691	0.0075041	0.010242477	0.008841771	0.014175478	0.005607291	0.011052342	0.020426366	0.020077973	0.010932815	0.009566269	0.008386934	0.008877244	0.012868146	0.018164819	0.011008846	0.014487605	0.010427111	0.008273214	0.014112042	0.015495456	0.018113467	0.009177733	0.014859912	0.008089418	0.011004363	0.009067595	0.014090497	0.012950797	0.011208011	0.014456554	0.016147718	0.016368867	0.016180007	0.013226745	0.013479492	0.01036535	0.009168599	0.0082881	0.007314309	0.008327109	0.008497722	0.012284478	0.016213228	0.015409549	0.011942735	0.013037744	0.010420916	0.009357448	0.011673709	0.012757013	0.011156641	0.008861005	0.01994633	0.011156665	0.015249412	0.006967783	0.013449175	0.010345284	0.008583775	0.016019143	0.01421735	0.009490776	0.018068575	0.008947469	0.014911033	0.012474791	0.010889322	0.011711807	0.015986613	0.015834909	0.012517853	0.021305607	0.009950039	0.014424507	0.016027758	0.012074123
3-deoxyhexitol	0.000271252	0.000382375	0.000542414	0.000643651	0.000777338	0.000943732	0.001089363	0.001084158	0.000214849	0.000192956	0.000264085	0.000161649	0.000275457	0.000305637	0.000272129	0.000270837	0.000284906	0.000231712	0.000221587	0.000225021	0.000356599	0.000314416	0.000343707	0.000334976	0.00040921	0.000350779	0.000373723	0.000316258	0.000308517	0.000401998	0.000465492	0.000495309	0.000371383	0.00035379	0.000488836	0.000494162	0.000439776	0.000509735	0.000563223	0.000439875	0.000501291	0.000620937	0.000483358	0.000452444	0.000570465	0.000531525	0.000653813	0.000837982	0.000435536	0.000331276	0.000315426	0.000316155	0.000258185	0.000346745	0.000357665	0.000452362	0.000527673	0.000362894	0.000469205	0.000420186	0.000379575	0.000420974	0.000388463	0.000500318	0.000520859	0.000608858	0.000498943	0.00062615	0.000569708	0.000809692	0.00051723	0.000670836	0.000553137	0.000523947	0.000537104	0.000567208	0.000537561	0.000586471	0.000596366	0.000471378	0.000735359	0.000790597	0.000690331	0.000664703	0.00066504	0.000544752	0.000582416	0.000775909
"2,5-piperazinedione"	0.000446617	0.000505442	0.000552256	0.000588952	0.000605445	0.000664853	0.000730495	0.000713657	0.000357264	0.000379529	0.000318526	0.000320555	0.000445922	0.00034951	0.00042645	0.00033675	0.00042033	0.000436094	0.000452992	0.00049879	0.000452674	0.000426865	0.000435561	0.000522159	0.000483618	0.000593505	0.000387765	0.000572503	0.000505641	0.000482395	0.000692418	0.000521425	0.000432087	0.000599895	0.000510619	0.000533831	0.000587116	0.000491707	0.000530067	0.000490192	0.000524494	0.000502337	0.000615396	0.000505213	0.000547206	0.000454783	0.000579106	0.000363509	0.000617828	0.000488414	0.000407436	0.000541021	0.000526986	0.0004781	0.000510374	0.000586014	0.000421543	0.000528064	0.000565127	0.000492174	0.00063748	0.000356388	0.000391101	0.00057828	0.000490114	0.000539485	0.000578719	0.000550869	0.000580699	0.000666861	0.00048047	0.000564659	0.000595866	0.000515133	0.000515277	0.000628973	0.00071644	0.000737907	0.000734174	0.000722955	0.000833922	0.001065322	0.000841326	0.000948826	0.000928525	0.000520412	0.00077186	0.000920975
5-methoxytryptamine	0.823149576	0.941125072	1.028282977	1.064287671	1.09665479	1.111331286	1.138051746	1.147223725	0.893689633	0.798834131	0.719238351	0.74733288	0.718009126	0.794710494	0.827317303	0.776278643	0.874173536	0.817385951	0.816348013	0.852185827	0.803174988	0.900546467	0.906743387	0.874560987	0.960154541	0.966612325	0.899170201	0.950084752	0.866875409	0.996319951	1.097367789	1.075170623	0.94999947	0.972492268	1.066704495	0.952567053	0.996013488	1.015612128	0.974464029	0.982979604	0.974105613	1.013108023	0.945320928	0.998022713	1.094827922	0.954065232	1.051095358	0.942599713	1.161200192	0.856135319	0.81608382	0.822431882	0.768361484	0.885329986	0.860598623	0.975051797	0.900168057	0.839008774	0.920290932	0.862698146	0.93542516	0.879260411	0.896606054	0.974204253	0.948112293	1.112246323	1.139473029	1.073653411	1.038936492	1.312921287	0.934866624	1.061702326	0.996771043	0.911209983	0.932936918	0.932208483	0.950264763	0.99390372	0.948748808	0.807211743	1.099736239	1.136903861	1.126862658	1.086775087	1.104335962	0.982513533	0.941240926	1.109035683
"(s)-3,4-dihydroxybutyric acid"	0.001347336	0.001408556	0.001471897	0.001663412	0.001674392	0.001759196	0.001759514	0.001946203	0.001537262	0.001332127	0.002051245	0.001792197	0.001083734	0.002597889	0.00579023	0.001740448	0.001056283	0.001238062	0.000880157	0.000996232	0.001202644	0.00191863	0.002067377	0.00120718	0.001127559	0.001010909	0.000695836	0.001274294	0.000844786	0.001672109	0.001381741	0.001971346	0.001385853	0.001486235	0.001903513	0.001918438	0.001823971	0.001800937	0.002385011	0.001474917	0.001895642	0.001207063	0.001353608	0.001453072	0.002698733	0.002213388	0.001910645	0.001077165	0.001462514	0.001016444	0.002494535	0.002328438	0.001153281	0.001828714	0.002113091	0.001623596	0.001200139	0.001391889	0.000838796	0.00095193	0.001425601	0.002336803	0.001620883	0.000934251	0.001835239	0.001285987	0.002599096	0.001133493	0.001170338	0.002066609	0.001957466	0.001266894	0.001160894	0.001053242	0.001080423	0.001342221	0.001381847	0.001192356	0.001761694	0.000886634	0.001553331	0.001524501	0.001974196	0.002189791	0.001921444	0.001303925	0.001377249	0.002427766
Diethanolamine	0.000629789	0.000491557	0.000290697	0.00036966	0.000296929	0.000292326	0.000304537	0.001685584	0.0000632	0.002153189	0.001579767	0.001566094	0.001460856	0.001267697	0.001198743	0.00101714	0.000920374	0.000817156	0.000624625	0.000698584	0.000648327	0.000602426	0.000525855	0.000575292	0.000578699	0.000441158	0.0003911	0.000455376	0.000403794	0.000550948	0.000469664	0.000508496	0.000394172	0.000404032	0.000384285	0.000335383	0.00040662	0.000461377	0.000380076	0.000340072	0.00031343	0.000357117	0.000394811	0.000390658	0.000630314	0.000443635	0.000476255	0.00042932	0.000599195	0.000458217	0.000425765	0.000490964	0.000432109	0.000453123	0.000475596	0.000416344	0.000458806	0.000409575	0.000417596	0.00037792	0.000384257	0.000379105	0.000396854	0.000453819	0.000415176	0.000458315	0.00043529	0.000406439	0.000459878	0.000611559	0.000423348	0.000384351	0.000432984	0.000324569	0.000350365	0.000345378	0.000378313	0.000416079	0.00025616	0.00030025	0.000351829	0.000367928	0.000354333	0.000367608	0.000441247	0.000352767	0.000415298	0.000381599
N-methyl-l-leucine	0.001054012	0.001344327	0.0014169	0.001205278	0.001477572	0.001603754	0.001520818	0.001638407	0.000258201	0.000452949	0.000475936	0.000443621	0.000321823	0.00080719	0.014890774	0.001704271	0.000631982	0.000717528	0.00025997	0.000353073	0.00020329	0.002212271	0.000355339	0.000290245	0.000435398	0.000610277	0.000223266	0.000276267	0.000362842	0.001125133	0.002066168	0.000909147	0.00031157	0.001061461	0.001038268	0.000809573	0.000553902	0.000637146	0.001538592	0.000301681	0.001402797	0.00130868	0.001132833	0.000332888	0.000922985	0.000835743	0.00097158	0.000190393	0.000365783	0.000610664	0.001197485	0.001450797	0.000598409	0.001968852	0.00164792	0.000109173	0.001535175	0.000354514	0.001085578	0.000166745	0.000747415	0.000439023	0.00020255	0.00025477	0.000577988	0.00092586	0.009957656	0.000325192	0.000308115	0.00166234	0.000201341	0.000866719	0.000110174	0.000136033	0.007757513	0.000270653	0.000273853	0.013303071	0.001890784	0.000166482	0.006075332	0.000375343	0.004542953	0.000592125	0.000471044	0.001019598	0.00271476	0.000392369
"2,4-diaminobutyric acid"	0.000164496	0.000250924	0.000385443	0.000530752	0.001118261	0.001088129	0.001396452	0.001705549	0.000242418	0.000324288	0.000175812	0.000163519	0.000132881	0.0000677	0.000125288	0.000082	0.000153342	0.0000927	0.001033963	0.000322994	0.0000443	0.000282052	0.000757479	0.000337753	0.000152205	0.000244206	0.0000347	0.000337215	0.00026179	0.000115018	0.0000489	0.0000501	0.0000268	0.000173279	0.000200183	0.0000119	0.0000501	0.000232248	0.000261763	0.000398262	0.000820815	0.000344182	0.000506954	0.000759718	0.000729734	0.000318051	0.000576987	0.0000174	0.000511057	0.000467118	0.000331514	0.000737773	0.000627346	0.000395945	0.000841564	0.000509309	0.0001866	0.000554515	0.000714763	0.00054159	0.000729861	0.000584365	0.000441964	0.000313198	0.000672772	0.000881891	0.000713089	0.001271406	0.000414394	0.000480867	0.000907195	0.000646581	0.000873822	0.000928428	0.000626017	0.000629032	0.00058409	0.000890935	0.000855456	0.000642865	0.001044347	0.001207618	0.00104114	0.001208409	0.000847029	0.000938597	0.000796518	0.000932987
Homoserine	0.000843151	0.001017969	0.000989399	0.001090935	0.001238826	0.001214151	0.001330614	0.001267698	0.001935847	0.003022139	0.002498677	0.003003207	0.000378394	0.003042061	0.002843709	0.001211706	0.001509785	0.001707664	0.000530085	0.000529962	0.000521179	0.001792269	0.000653426	0.002421592	0.000479988	0.000808647	0.002073436	0.000819634	0.000517215	0.001872596	0.000856989	0.00068998	0.00051139	0.000587112	0.000710843	0.000342992	0.00086156	0.000747938	0.000676199	0.000561133	0.001578978	0.002500967	0.014384983	0.000873234	0.001473767	0.000562893	0.000825369	0.000680546	0.0009783	0.000500984	0.000690435	0.00072922	0.00044377	0.000734975	0.000422748	0.004192143	0.002090737	0.002086826	0.001314628	0.00051132	0.00056886	0.00049308	0.000660711	0.000364932	0.000753364	0.000742032	0.001054086	0.00088304	0.000515475	0.002473697	0.00058419	0.000486512	0.000984347	0.000642037	0.000453795	0.000690415	0.0015891	0.000470082	0.001676144	0.000445577	0.00081253	0.000722995	0.004365818	0.000685195	0.000677449	0.000561148	0.000789947	0.000793071
Homoglutamine	0.000624947	0.000606431	0.000665692	0.000776346	0.000831434	0.000894931	0.001029403	0.001062324	0.00173632	0.001774909	0.001880282	0.002821827	0.001402718	0.002889604	0.001992316	0.003046359	0.000503262	0.001176034	0.000973002	0.000959728	0.001161676	0.001199914	0.00075096	0.002087095	0.001350563	0.000865266	0.001231602	0.000661105	0.000961486	0.001943758	0.000934527	0.000834387	0.00046198	0.001123745	0.000747238	0.00057045	0.000900637	0.001182949	0.001872184	0.000965825	0.000960525	0.001714108	0.001207805	0.00131882	0.001811715	0.000955098	0.001108437	0.001149376	0.003745587	0.001495464	0.003753999	0.002924447	0.001360142	0.002881984	0.002540966	0.001742695	0.001804413	0.002125878	0.001454015	0.001324398	0.002258864	0.001279952	0.001419773	0.00128366	0.001923275	0.000771983	0.001999643	0.001262296	0.001208605	0.004312577	0.002033883	0.001254284	0.000694817	0.001568708	0.00137277	0.001248992	0.002068269	0.001531356	0.001676449	0.001137041	0.000809435	0.002224934	0.001305616	0.002086232	0.002375089	0.001025426	0.00195585	0.001902888
Phosphenodiimidic amide	0.032811797	0.031038763	0.027701242	0.028534638	0.03189218	0.033011299	0.040008943	0.041655551	0.145878803	0.175273726	0.146036224	0.174308988	0.094150926	0.161565583	0.142241506	0.160845096	0.043282107	0.088766686	0.050775792	0.076576578	0.104729865	0.073849314	0.077478354	0.118339725	0.081726688	0.069541069	0.103944561	0.042858734	0.05398256	0.090676004	0.049339491	0.053652444	0.069378344	0.048293163	0.063025632	0.023195938	0.031094433	0.053008097	0.053197967	0.040226381	0.050169936	0.09976137	0.058119637	0.049176637	0.076496159	0.054928779	0.051184394	0.054859419	0.124906731	0.068850533	0.082588963	0.037968036	0.03888462	0.05877428	0.058401621	0.076814257	0.112841276	0.059543364	0.051399048	0.034635384	0.070117379	0.06832601	0.057746114	0.045708545	0.072281979	0.047158567	0.072532093	0.045511672	0.06088245	0.092923939	0.059447973	0.074768072	0.053302578	0.058330505	0.048125856	0.085469875	0.077754355	0.090515816	0.069295732	0.053561353	0.074011354	0.082413245	0.063596213	0.055185254	0.089127468	0.063186964	0.068361189	0.054850318
3-amino-2-piperidone	0.019568053	0.046284451	0.022655594	0.021186747	0.023425773	0.050551175	0.05123836	0.052269332	0.038044512	0.02871878	0.027866504	0.027660168	0.033547342	0.030043605	0.033791961	0.023408171	0.032432566	0.015734728	0.027300354	0.023436015	0.034441382	0.01706431	0.037804543	0.028110881	0.018506485	0.039076702	0.033891942	0.042757561	0.014986081	0.043629888	0.038578387	0.025179743	0.022927372	0.022551841	0.018468628	0.032886367	0.034235148	0.038376119	0.000245874	0.03537867	0.038359233	0.039224358	0.035840565	0.038683709	0.044175165	0.035425419	0.042047565	0.020194156	0.021984581	0.034635272	0.016061592	0.035209041	0.031058587	0.018787889	0.018607556	0.020114073	0.036226576	0.018210662	0.036878106	0.01427722	0.035796217	0.031510241	0.033922566	0.033374225	0.043867991	0.017997324	0.031266637	0.018710344	0.037271065	0.050308701	0.017366288	0.041382076	0.041447021	0.016139011	0.03530807	0.031555828	0.039644825	0.038564107	0.017932523	0.016518238	0.040927112	0.049543996	0.038039556	0.043226277	0.042622823	0.040376369	0.036300827	0.044156266
Capric acid	0.010830925	0.011599871	0.012212553	0.012210073	0.01271119	0.012915626	0.013312539	0.01358604	0.011752539	0.010509217	0.00941022	0.009837574	0.009521742	0.010390754	0.012012978	0.010813798	0.010834149	0.010732603	0.010683082	0.010953923	0.010740018	0.011324566	0.012425046	0.011728852	0.011559006	0.007195499	0.010413594	0.012527814	0.010050527	0.011770933	0.012855802	0.011958852	0.01363311	0.011268123	0.00817074	0.010806357	0.007067955	0.012378339	0.012167912	0.012931465	0.011729901	0.011975396	0.01263079	0.011080743	0.012137559	0.011586177	0.011312563	0.01084194	0.014639001	0.012074939	0.012080152	0.01279821	0.012041851	0.0121871	0.014571529	0.013546402	0.011937301	0.012945583	0.012531321	0.012803022	0.014102998	0.011406761	0.012609687	0.012715864	0.013281148	0.015383513	0.012931302	0.013355609	0.015918155	0.016250569	0.013271464	0.012743519	0.012537327	0.014670413	0.012360509	0.010474664	0.013499188	0.011683565	0.011871197	0.011092711	0.012330228	0.015033757	0.013502039	0.01410833	0.014047411	0.012962355	0.013106804	0.01495109
Cytidine-5-monophosphate	0.0000203	0.00000718	0.00000882	0.0000233	0.0000519	0.0000218	0.0000811	0.0000772	0.000957835	0.001206929	0.000577194	0.000861439	0.000478474	0.00144636	0.000088	0.001644608	0.00000588	0.001152308	0.000228934	0.000950805	0.000647955	0.000947291	0.0000434	0.000433995	0.001119719	0.0000247	0.00056311	0.000016	0.000116084	0.000842776	0.0000517	0.000049	0.000369675	0.000187574	0.0000595	7.94E-10	0.0000181	0.000868994	0.001553078	0.002891842	0.000900486	0.001454833	0.00182402	0.000278777	0.000415382	0.001033293	0.000344485	0.0000822	0.001380605	0.001067849	0.001147526	0.003286189	0.002592174	0.001371961	0.002772029	0.002257135	0.001667401	0.002269439	0.001436378	0.002658246	0.002314262	0.001531269	0.00174514	0.001784107	0.002537271	0.0000779	0.000286341	0.0000986	0.001641892	0.002141764	0.001761539	0.001383978	0.001810428	0.00142554	0.001681425	0.000318557	0.001650703	0.001037122	0.0000709	0.00151324	0.000033	0.001846634	0.000799124	0.002591933	0.00180584	0.001390621	0.001887225	0.003370825
M-cresol	0.001061322	0.00121735	0.001248572	0.001287755	0.001382059	0.001481234	0.001498084	0.001472218	0.000938269	0.000732265	0.000615942	0.000180293	0.000534904	0.000852504	0.000861845	0.000704152	0.000859799	0.00054843	0.00079946	0.001045289	0.000648648	0.000464988	0.000821745	0.000541475	0.001231471	0.001186832	0.000575736	0.001355927	0.000969447	0.0017425	0.001738292	0.000963454	0.000747574	0.001006345	0.000821416	0.000626513	0.001101249	0.001311633	0.000912112	0.000297769	0.001182692	0.001153878	0.001347098	0.001413224	0.001060356	0.000902409	0.001007787	0.001197829	0.001826985	0.000932158	0.000237558	0.00108844	0.000827046	0.001494931	0.000372087	0.001611787	0.001202763	0.000300969	0.000322421	0.000786699	0.001081844	0.000646839	0.001017786	0.000767262	0.002310685	0.001388244	0.002066091	0.001677333	0.0007461	0.001784744	0.001275225	0.001171667	0.0014218	0.001359055	0.000860565	0.001200526	0.001154781	0.001408414	0.000993972	0.001053246	0.002007375	0.001652511	0.002322872	0.001548121	0.001290888	0.001195041	0.00096271	0.00110517
