pathway_id,pathway_size,foreground_size,background_size,foreground_in_pathway,foreground_not_in_pathway,background_in_pathway_not_foreground,background_not_in_pathway_not_foreground,oddsratio,p_value,q_value
R-HSA-5619063,4,505,1121,4,501,0,616,inf,0.04091646366835707,0.9744726049471977
R-HSA-351202,3,505,1121,3,502,0,616,inf,0.09112471390681912,0.9744726049471977
R-HSA-3296197,3,505,1121,3,502,0,616,inf,0.09112471390681912,0.9744726049471977
R-HSA-189200,3,505,1121,3,502,0,616,inf,0.09112471390681912,0.9744726049471977
R-HSA-8963684,5,505,1121,4,501,1,615,4.910179640718563,0.13117444619193078,0.9744726049471977
R-HSA-433692,5,505,1121,4,501,1,615,4.910179640718563,0.13117444619193078,0.9744726049471977
R-HSA-428643,7,505,1121,5,500,2,614,3.07,0.15280977073121976,0.9744726049471977
R-HSA-110331,2,505,1121,2,503,0,616,inf,0.2027207850133809,0.9744726049471977
R-HSA-8964540,2,505,1121,2,503,0,616,inf,0.2027207850133809,0.9744726049471977
R-HSA-9865125,2,505,1121,2,503,0,616,inf,0.2027207850133809,0.9744726049471977
R-HSA-5619047,2,505,1121,2,503,0,616,inf,0.2027207850133809,0.9744726049471977
R-HSA-2024101,2,505,1121,2,503,0,616,inf,0.2027207850133809,0.9744726049471977
R-HSA-432047,2,505,1121,2,503,0,616,inf,0.2027207850133809,0.9744726049471977
R-HSA-5678520,4,505,1121,3,502,1,615,3.6752988047808763,0.24174946462220526,0.9744726049471977
R-HSA-5619070,4,505,1121,3,502,1,615,3.6752988047808763,0.24174946462220526,0.9744726049471977
R-HSA-6782861,4,505,1121,3,502,1,615,3.6752988047808763,0.24174946462220526,0.9744726049471977
R-HSA-9840310,4,505,1121,3,502,1,615,3.6752988047808763,0.24174946462220526,0.9744726049471977
R-HSA-561048,4,505,1121,3,502,1,615,3.6752988047808763,0.24174946462220526,0.9744726049471977
R-HSA-70268,6,505,1121,4,501,2,614,2.4510978043912175,0.25552180114712303,0.9744726049471977
R-HSA-71240,6,505,1121,4,501,2,614,2.4510978043912175,0.25552180114712303,0.9744726049471977
R-HSA-83936,8,505,1121,5,500,3,613,2.0433333333333334,0.2605928618947663,0.9744726049471977
R-HSA-73621,11,505,1121,6,499,5,611,1.4693386773547095,0.3675679127800558,0.9744726049471977
R-HSA-381771,7,505,1121,4,501,3,613,1.6314038589487692,0.3924711750349939,0.9744726049471977
R-HSA-879518,7,505,1121,4,501,3,613,1.6314038589487692,0.3924711750349939,0.9744726049471977
R-HSA-389661,5,505,1121,3,502,2,614,1.8346613545816732,0.40761199226761713,0.9744726049471977
R-HSA-381753,5,505,1121,3,502,2,614,1.8346613545816732,0.40761199226761713,0.9744726049471977
R-HSA-389599,5,505,1121,3,502,2,614,1.8346613545816732,0.40761199226761713,0.9744726049471977
R-HSA-1237112,3,505,1121,2,503,1,615,2.445328031809145,0.4259129272265044,0.9744726049471977
R-HSA-977347,3,505,1121,2,503,1,615,2.445328031809145,0.4259129272265044,0.9744726049471977
R-HSA-77111,3,505,1121,2,503,1,615,2.445328031809145,0.4259129272265044,0.9744726049471977
R-HSA-5661270,3,505,1121,2,503,1,615,2.445328031809145,0.4259129272265044,0.9744726049471977
R-HSA-141334,3,505,1121,2,503,1,615,2.445328031809145,0.4259129272265044,0.9744726049471977
R-HSA-351200,3,505,1121,2,503,1,615,2.445328031809145,0.4259129272265044,0.9744726049471977
R-HSA-8964208,3,505,1121,2,503,1,615,2.445328031809145,0.4259129272265044,0.9744726049471977
R-HSA-389887,3,505,1121,2,503,1,615,2.445328031809145,0.4259129272265044,0.9744726049471977
R-HSA-9859138,3,505,1121,2,503,1,615,2.445328031809145,0.4259129272265044,0.9744726049471977
R-HSA-9749641,12,505,1121,6,499,6,610,1.222444889779559,0.47440220765100205,0.9744726049471977
R-HSA-352230,8,505,1121,4,501,4,612,1.221556886227545,0.5243494881752215,0.9744726049471977
R-HSA-442660,6,505,1121,3,502,3,613,1.2211155378486056,0.5597021833881111,0.9744726049471977
R-HSA-70263,6,505,1121,3,502,3,613,1.2211155378486056,0.5597021833881111,0.9744726049471977
R-HSA-70895,6,505,1121,3,502,3,613,1.2211155378486056,0.5597021833881111,0.9744726049471977
R-HSA-71288,6,505,1121,3,502,3,613,1.2211155378486056,0.5597021833881111,0.9744726049471977
R-HSA-71262,6,505,1121,3,502,3,613,1.2211155378486056,0.5597021833881111,0.9744726049471977
R-HSA-5619044,4,505,1121,2,503,2,614,1.220675944333996,0.6100763898308037,0.9744726049471977
R-HSA-5619094,4,505,1121,2,503,2,614,1.220675944333996,0.6100763898308037,0.9744726049471977
R-HSA-5659735,4,505,1121,2,503,2,614,1.220675944333996,0.6100763898308037,0.9744726049471977
R-HSA-4085001,4,505,1121,2,503,2,614,1.220675944333996,0.6100763898308037,0.9744726049471977
R-HSA-444209,4,505,1121,2,503,2,614,1.220675944333996,0.6100763898308037,0.9744726049471977
R-HSA-177135,4,505,1121,2,503,2,614,1.220675944333996,0.6100763898308037,0.9744726049471977
R-HSA-192456,9,505,1121,4,501,5,611,0.9756487025948104,0.6403739663665162,0.9744726049471977
R-HSA-74259,9,505,1121,4,501,5,611,0.9756487025948104,0.6403739663665162,0.9744726049471977
R-HSA-418594,14,505,1121,6,499,8,608,0.9138276553106213,0.665115196663012,0.9744726049471977
R-HSA-2408508,7,505,1121,3,502,4,612,0.9143426294820717,0.6851254396529493,0.9744726049471977
R-HSA-1614558,7,505,1121,3,502,4,612,0.9143426294820717,0.6851254396529493,0.9744726049471977
R-HSA-70635,7,505,1121,3,502,4,612,0.9143426294820717,0.6851254396529493,0.9744726049471977
R-HSA-74217,7,505,1121,3,502,4,612,0.9143426294820717,0.6851254396529493,0.9744726049471977
R-HSA-373076,7,505,1121,3,502,4,612,0.9143426294820717,0.6851254396529493,0.9744726049471977
R-HSA-1614603,2,505,1121,1,504,1,615,1.2202380952380953,0.6982604817127565,0.9744726049471977
R-HSA-2142789,2,505,1121,1,504,1,615,1.2202380952380953,0.6982604817127565,0.9744726049471977
R-HSA-1483115,2,505,1121,1,504,1,615,1.2202380952380953,0.6982604817127565,0.9744726049471977
R-HSA-9617324,2,505,1121,1,504,1,615,1.2202380952380953,0.6982604817127565,0.9744726049471977
R-HSA-9735763,2,505,1121,1,504,1,615,1.2202380952380953,0.6982604817127565,0.9744726049471977
R-HSA-422085,2,505,1121,1,504,1,615,1.2202380952380953,0.6982604817127565,0.9744726049471977
R-HSA-888593,2,505,1121,1,504,1,615,1.2202380952380953,0.6982604817127565,0.9744726049471977
R-HSA-174362,2,505,1121,1,504,1,615,1.2202380952380953,0.6982604817127565,0.9744726049471977
R-HSA-446205,2,505,1121,1,504,1,615,1.2202380952380953,0.6982604817127565,0.9744726049471977
R-HSA-71336,2,505,1121,1,504,1,615,1.2202380952380953,0.6982604817127565,0.9744726049471977
R-HSA-9620244,2,505,1121,1,504,1,615,1.2202380952380953,0.6982604817127565,0.9744726049471977
R-HSA-9707564,2,505,1121,1,504,1,615,1.2202380952380953,0.6982604817127565,0.9744726049471977
R-HSA-9841922,2,505,1121,1,504,1,615,1.2202380952380953,0.6982604817127565,0.9744726049471977
R-HSA-389542,2,505,1121,1,504,1,615,1.2202380952380953,0.6982604817127565,0.9744726049471977
