pathway_id,pathway_size,foreground_size,background_size,foreground_in_pathway,foreground_not_in_pathway,background_in_pathway_not_foreground,background_not_in_pathway_not_foreground,oddsratio,p_value,q_value
R-HSA-418594,4,59,143,4,55,0,84,inf,0.027250304385455715,0.4333413065807432
R-HSA-112310,2,59,143,2,57,0,84,inf,0.16852161922584458,0.4333413065807432
R-HSA-5619108,2,59,143,2,57,0,84,inf,0.16852161922584458,0.4333413065807432
R-HSA-804914,2,59,143,2,57,0,84,inf,0.16852161922584458,0.4333413065807432
R-HSA-420499,2,59,143,2,57,0,84,inf,0.16852161922584458,0.4333413065807432
R-HSA-3296197,2,59,143,2,57,0,84,inf,0.16852161922584458,0.4333413065807432
R-HSA-422085,2,59,143,2,57,0,84,inf,0.16852161922584458,0.4333413065807432
R-HSA-381771,3,59,143,2,57,1,83,2.912280701754386,0.3693133357502552,0.6566532059489807
R-HSA-9717207,3,59,143,2,57,1,83,2.912280701754386,0.3693133357502552,0.6566532059489807
R-HSA-381753,3,59,143,2,57,1,83,2.912280701754386,0.3693133357502552,0.6566532059489807
R-HSA-416476,2,59,143,1,58,1,83,1.4310344827586208,0.6566532059489807,0.6566532059489807
R-HSA-444209,2,59,143,1,58,1,83,1.4310344827586208,0.6566532059489807,0.6566532059489807
R-HSA-70221,2,59,143,1,58,1,83,1.4310344827586208,0.6566532059489807,0.6566532059489807
R-HSA-163560,2,59,143,1,58,1,83,1.4310344827586208,0.6566532059489807,0.6566532059489807
R-HSA-192456,2,59,143,1,58,1,83,1.4310344827586208,0.6566532059489807,0.6566532059489807
R-HSA-432047,2,59,143,1,58,1,83,1.4310344827586208,0.6566532059489807,0.6566532059489807
R-HSA-189200,2,59,143,1,58,1,83,1.4310344827586208,0.6566532059489807,0.6566532059489807
R-HSA-9679191,2,59,143,1,58,1,83,1.4310344827586208,0.6566532059489807,0.6566532059489807
