pathway_id,pathway_size,foreground_size,background_size,foreground_in_pathway,foreground_not_in_pathway,background_in_pathway_not_foreground,background_not_in_pathway_not_foreground,oddsratio,p_value,q_value
R-HSA-5619108,6,527,1175,6,521,0,648,inf,0.008012809126036724,0.34455079241957914
R-HSA-804914,6,527,1175,6,521,0,648,inf,0.008012809126036724,0.34455079241957914
R-HSA-418594,7,527,1175,6,521,1,647,7.4510556621881,0.03466276796438641,0.7616513418405112
R-HSA-112310,6,527,1175,5,522,1,647,6.197318007662835,0.06769442192686198,0.7616513418405112
R-HSA-381771,8,527,1175,6,521,2,646,3.719769673704415,0.0863312883320601,0.7616513418405112
R-HSA-2453902,3,527,1175,3,524,0,648,inf,0.08993975229573224,0.7616513418405112
R-HSA-422085,3,527,1175,3,524,0,648,inf,0.08993975229573224,0.7616513418405112
R-HSA-75105,3,527,1175,3,524,0,648,inf,0.08993975229573224,0.7616513418405112
R-HSA-433692,3,527,1175,3,524,0,648,inf,0.08993975229573224,0.7616513418405112
R-HSA-444209,7,527,1175,5,522,2,646,3.0938697318007664,0.1502735568330509,0.7616513418405112
R-HSA-9854311,2,527,1175,2,525,0,648,inf,0.2009511037007503,0.7616513418405112
R-HSA-200425,2,527,1175,2,525,0,648,inf,0.2009511037007503,0.7616513418405112
R-HSA-70171,2,527,1175,2,525,0,648,inf,0.2009511037007503,0.7616513418405112
R-HSA-9955298,2,527,1175,2,525,0,648,inf,0.2009511037007503,0.7616513418405112
R-HSA-5619070,2,527,1175,2,525,0,648,inf,0.2009511037007503,0.7616513418405112
R-HSA-561048,2,527,1175,2,525,0,648,inf,0.2009511037007503,0.7616513418405112
R-HSA-373076,2,527,1175,2,525,0,648,inf,0.2009511037007503,0.7616513418405112
R-HSA-9673163,2,527,1175,2,525,0,648,inf,0.2009511037007503,0.7616513418405112
R-HSA-3296197,2,527,1175,2,525,0,648,inf,0.2009511037007503,0.7616513418405112
R-HSA-611105,4,527,1175,3,524,1,647,3.704198473282443,0.23912309569411397,0.7616513418405112
R-HSA-196807,4,527,1175,3,524,1,647,3.704198473282443,0.23912309569411397,0.7616513418405112
R-HSA-381753,4,527,1175,3,524,1,647,3.704198473282443,0.23912309569411397,0.7616513418405112
R-HSA-428643,4,527,1175,3,524,1,647,3.704198473282443,0.23912309569411397,0.7616513418405112
R-HSA-9749641,4,527,1175,3,524,1,647,3.704198473282443,0.23912309569411397,0.7616513418405112
R-HSA-400511,4,527,1175,3,524,1,647,3.704198473282443,0.23912309569411397,0.7616513418405112
R-HSA-434316,4,527,1175,3,524,1,647,3.704198473282443,0.23912309569411397,0.7616513418405112
R-HSA-420499,4,527,1175,3,524,1,647,3.704198473282443,0.23912309569411397,0.7616513418405112
R-HSA-71403,6,527,1175,4,523,2,646,2.470363288718929,0.25227378847625936,0.7616753231994619
R-HSA-416476,8,527,1175,5,522,3,645,2.0593869731800765,0.2568440043347022,0.7616753231994619
R-HSA-70268,7,527,1175,4,523,3,645,1.644359464627151,0.3882740973338707,0.7674619854996091
R-HSA-8964208,3,527,1175,2,525,1,647,2.4647619047619047,0.42297380651078637,0.7674619854996091
R-HSA-8963684,3,527,1175,2,525,1,647,2.4647619047619047,0.42297380651078637,0.7674619854996091
R-HSA-163560,3,527,1175,2,525,1,647,2.4647619047619047,0.42297380651078637,0.7674619854996091
R-HSA-192456,3,527,1175,2,525,1,647,2.4647619047619047,0.42297380651078637,0.7674619854996091
R-HSA-975634,3,527,1175,2,525,1,647,2.4647619047619047,0.42297380651078637,0.7674619854996091
R-HSA-5619044,10,527,1175,5,522,5,643,1.2318007662835249,0.4917626062569046,0.7674619854996091
R-HSA-5659735,10,527,1175,5,522,5,643,1.2318007662835249,0.4917626062569046,0.7674619854996091
R-HSA-9717207,6,527,1175,3,524,3,645,1.2309160305343512,0.5556790576643275,0.7674619854996091
R-HSA-8964539,4,527,1175,2,525,2,646,1.2304761904761905,0.6068245173274589,0.7674619854996091
R-HSA-73817,4,527,1175,2,525,2,646,1.2304761904761905,0.6068245173274589,0.7674619854996091
R-HSA-71240,9,527,1175,4,523,5,643,0.9835564053537285,0.6357500924978579,0.7674619854996091
R-HSA-379716,14,527,1175,6,521,8,640,0.9213051823416507,0.6595199397182621,0.7674619854996091
R-HSA-379726,14,527,1175,6,521,8,640,0.9213051823416507,0.6595199397182621,0.7674619854996091
R-HSA-442660,14,527,1175,6,521,8,640,0.9213051823416507,0.6595199397182621,0.7674619854996091
R-HSA-209968,2,527,1175,1,526,1,647,1.2300380228136882,0.6960701728949943,0.7674619854996091
