pathway_id,pathway_size,foreground_size,background_size,foreground_in_pathway,foreground_not_in_pathway,background_in_pathway_not_foreground,background_not_in_pathway_not_foreground,oddsratio,p_value,q_value
map00061,8,69,158,7,62,1,88,9.935483870967742,0.012974954981319875,0.7268617080304157
map00360,6,69,158,5,64,1,88,6.875,0.05706451030813241,0.7268617080304157
map01040,6,69,158,5,64,1,88,6.875,0.05706451030813241,0.7268617080304157
map04922,6,69,158,5,64,1,88,6.875,0.05706451030813241,0.7268617080304157
map01063,10,69,158,7,62,3,86,3.236559139784946,0.08041252894898511,0.7268617080304157
map00400,3,69,158,3,66,0,89,inf,0.08123654947004134,0.7268617080304157
map04024,3,69,158,3,66,0,89,inf,0.08123654947004134,0.7268617080304157
map00720,5,69,158,4,65,1,88,5.415384615384616,0.11455476561213201,0.7268617080304157
map00620,5,69,158,4,65,1,88,5.415384615384616,0.11455476561213201,0.7268617080304157
map02020,7,69,158,5,64,2,87,3.3984375,0.13081845625734245,0.7268617080304157
map01061,7,69,158,5,64,2,87,3.3984375,0.13081845625734245,0.7268617080304157
map01070,7,69,158,5,64,2,87,3.3984375,0.13081845625734245,0.7268617080304157
map05230,19,69,158,11,58,8,81,1.9202586206896552,0.13888554562037886,0.7268617080304157
map01060,24,69,158,13,56,11,78,1.646103896103896,0.18324626229848498,0.7268617080304157
map00901,2,69,158,2,67,0,89,inf,0.18914778682576794,0.7268617080304157
map00643,2,69,158,2,67,0,89,inf,0.18914778682576794,0.7268617080304157
map04066,2,69,158,2,67,0,89,inf,0.18914778682576794,0.7268617080304157
map00940,2,69,158,2,67,0,89,inf,0.18914778682576794,0.7268617080304157
map00401,2,69,158,2,67,0,89,inf,0.18914778682576794,0.7268617080304157
map04917,2,69,158,2,67,0,89,inf,0.18914778682576794,0.7268617080304157
map00073,2,69,158,2,67,0,89,inf,0.18914778682576794,0.7268617080304157
map00333,2,69,158,2,67,0,89,inf,0.18914778682576794,0.7268617080304157
map00500,2,69,158,2,67,0,89,inf,0.18914778682576794,0.7268617080304157
map05415,2,69,158,2,67,0,89,inf,0.18914778682576794,0.7268617080304157
map04931,2,69,158,2,67,0,89,inf,0.18914778682576794,0.7268617080304157
map00190,2,69,158,2,67,0,89,inf,0.18914778682576794,0.7268617080304157
map00760,2,69,158,2,67,0,89,inf,0.18914778682576794,0.7268617080304157
map00997,4,69,158,3,66,1,88,4.0,0.2211730572668223,0.7268617080304157
map00020,4,69,158,3,66,1,88,4.0,0.2211730572668223,0.7268617080304157
map00999,4,69,158,3,66,1,88,4.0,0.2211730572668223,0.7268617080304157
map00640,4,69,158,3,66,1,88,4.0,0.2211730572668223,0.7268617080304157
map00350,4,69,158,3,66,1,88,4.0,0.2211730572668223,0.7268617080304157
map01240,10,69,158,6,63,4,85,2.0238095238095237,0.226918896087798,0.7268617080304157
map00250,6,69,158,4,65,2,87,2.6769230769230767,0.22953527622013126,0.7268617080304157
map00966,6,69,158,4,65,2,87,2.6769230769230767,0.22953527622013126,0.7268617080304157
map00040,6,69,158,4,65,2,87,2.6769230769230767,0.22953527622013126,0.7268617080304157
map01110,33,69,158,16,53,17,72,1.2785793562708103,0.3325169232160515,0.8764805905059216
map01210,9,69,158,5,64,4,85,1.66015625,0.34366615740153955,0.8764805905059216
map01066,7,69,158,4,65,3,86,1.764102564102564,0.361157702837183,0.8764805905059216
map01064,7,69,158,4,65,3,86,1.764102564102564,0.361157702837183,0.8764805905059216
map01065,7,69,158,4,65,3,86,1.764102564102564,0.361157702837183,0.8764805905059216
map00052,5,69,158,3,66,2,87,1.9772727272727273,0.38110049474885754,0.8764805905059216
map01062,5,69,158,3,66,2,87,1.9772727272727273,0.38110049474885754,0.8764805905059216
map04973,3,69,158,2,67,1,88,2.626865671641791,0.40497026153722115,0.8764805905059216
map04727,3,69,158,2,67,1,88,2.626865671641791,0.40497026153722115,0.8764805905059216
map00071,3,69,158,2,67,1,88,2.626865671641791,0.40497026153722115,0.8764805905059216
map01212,3,69,158,2,67,1,88,2.626865671641791,0.40497026153722115,0.8764805905059216
map00404,3,69,158,2,67,1,88,2.626865671641791,0.40497026153722115,0.8764805905059216
map00010,3,69,158,2,67,1,88,2.626865671641791,0.40497026153722115,0.8764805905059216
map00030,3,69,158,2,67,1,88,2.626865671641791,0.40497026153722115,0.8764805905059216
map02010,21,69,158,10,59,11,78,1.201848998459168,0.43553046990853667,0.8764805905059216
map04742,8,69,158,4,65,4,85,1.3076923076923077,0.49234429360450943,0.8764805905059216
map00650,8,69,158,4,65,4,85,1.3076923076923077,0.49234429360450943,0.8764805905059216
map01230,15,69,158,7,62,8,81,1.1431451612903225,0.5071515297787381,0.8764805905059216
map04978,13,69,158,6,63,7,82,1.1156462585034013,0.5367559132913189,0.8764805905059216
map02060,4,69,158,2,67,2,87,1.2985074626865671,0.5887674658076201,0.8764805905059216
map04148,4,69,158,2,67,2,87,1.2985074626865671,0.5887674658076201,0.8764805905059216
map00220,4,69,158,2,67,2,87,1.2985074626865671,0.5887674658076201,0.8764805905059216
