pathway_id,pathway_size,foreground_size,background_size,foreground_in_pathway,foreground_not_in_pathway,background_in_pathway_not_foreground,background_not_in_pathway_not_foreground,oddsratio,p_value,q_value
R-HSA-5619108,7,781,1601,7,774,0,820,inf,0.006483538438344655,0.3144516142597158
R-HSA-804914,7,781,1601,7,774,0,820,inf,0.006483538438344655,0.3144516142597158
R-HSA-112310,6,781,1601,6,775,0,820,inf,0.013343540398915776,0.4314411395649434
R-HSA-418594,8,781,1601,7,774,1,819,7.406976744186046,0.02983078475961085,0.5787172243364505
R-HSA-381771,8,781,1601,7,774,1,819,7.406976744186046,0.02983078475961085,0.5787172243364505
R-HSA-444209,7,781,1601,6,775,1,819,6.340645161290323,0.05450355216234249,0.5914818863210494
R-HSA-1989781,4,781,1601,4,777,0,820,inf,0.056406108431917165,0.5914818863210494
R-HSA-2453902,4,781,1601,4,777,0,820,inf,0.056406108431917165,0.5914818863210494
R-HSA-381340,4,781,1601,4,777,0,820,inf,0.056406108431917165,0.5914818863210494
R-HSA-422085,3,781,1601,3,778,0,820,inf,0.11585727670206121,0.5914818863210494
R-HSA-1368108,3,781,1601,3,778,0,820,inf,0.11585727670206121,0.5914818863210494
R-HSA-2151201,3,781,1601,3,778,0,820,inf,0.11585727670206121,0.5914818863210494
R-HSA-2426168,3,781,1601,3,778,0,820,inf,0.11585727670206121,0.5914818863210494
R-HSA-400206,3,781,1601,3,778,0,820,inf,0.11585727670206121,0.5914818863210494
R-HSA-75105,3,781,1601,3,778,0,820,inf,0.11585727670206121,0.5914818863210494
R-HSA-9707564,3,781,1601,3,778,0,820,inf,0.11585727670206121,0.5914818863210494
R-HSA-9931509,3,781,1601,3,778,0,820,inf,0.11585727670206121,0.5914818863210494
R-HSA-9933387,3,781,1601,3,778,0,820,inf,0.11585727670206121,0.5914818863210494
R-HSA-433692,3,781,1601,3,778,0,820,inf,0.11585727670206121,0.5914818863210494
R-HSA-416476,8,781,1601,6,775,2,818,3.166451612903226,0.12852185437053737,0.5914818863210494
R-HSA-420499,5,781,1601,4,777,1,819,4.216216216216216,0.1722558489808766,0.5914818863210494
R-HSA-77108,2,781,1601,2,779,0,820,inf,0.23781230480949409,0.5914818863210494
R-HSA-77111,2,781,1601,2,779,0,820,inf,0.23781230480949409,0.5914818863210494
R-HSA-373076,2,781,1601,2,779,0,820,inf,0.23781230480949409,0.5914818863210494
R-HSA-9955298,2,781,1601,2,779,0,820,inf,0.23781230480949409,0.5914818863210494
R-HSA-75876,2,781,1601,2,779,0,820,inf,0.23781230480949409,0.5914818863210494
R-HSA-9854311,2,781,1601,2,779,0,820,inf,0.23781230480949409,0.5914818863210494
R-HSA-5619047,2,781,1601,2,779,0,820,inf,0.23781230480949409,0.5914818863210494
R-HSA-200425,2,781,1601,2,779,0,820,inf,0.23781230480949409,0.5914818863210494
R-HSA-70171,2,781,1601,2,779,0,820,inf,0.23781230480949409,0.5914818863210494
R-HSA-5619070,2,781,1601,2,779,0,820,inf,0.23781230480949409,0.5914818863210494
R-HSA-5652227,2,781,1601,2,779,0,820,inf,0.23781230480949409,0.5914818863210494
R-HSA-426048,2,781,1601,2,779,0,820,inf,0.23781230480949409,0.5914818863210494
R-HSA-211935,2,781,1601,2,779,0,820,inf,0.23781230480949409,0.5914818863210494
R-HSA-9841922,2,781,1601,2,779,0,820,inf,0.23781230480949409,0.5914818863210494
R-HSA-9844594,2,781,1601,2,779,0,820,inf,0.23781230480949409,0.5914818863210494
R-HSA-561048,2,781,1601,2,779,0,820,inf,0.23781230480949409,0.5914818863210494
R-HSA-3296197,2,781,1601,2,779,0,820,inf,0.23781230480949409,0.5914818863210494
R-HSA-9673163,2,781,1601,2,779,0,820,inf,0.23781230480949409,0.5914818863210494
R-HSA-381753,4,781,1601,3,778,1,819,3.158097686375321,0.29421078151249336,0.594550954306497
R-HSA-611105,4,781,1601,3,778,1,819,3.158097686375321,0.29421078151249336,0.594550954306497
R-HSA-400511,4,781,1601,3,778,1,819,3.158097686375321,0.29421078151249336,0.594550954306497
R-HSA-434316,4,781,1601,3,778,1,819,3.158097686375321,0.29421078151249336,0.594550954306497
R-HSA-9707616,4,781,1601,3,778,1,819,3.158097686375321,0.29421078151249336,0.594550954306497
R-HSA-975634,4,781,1601,3,778,1,819,3.158097686375321,0.29421078151249336,0.594550954306497
R-HSA-428643,4,781,1601,3,778,1,819,3.158097686375321,0.29421078151249336,0.594550954306497
R-HSA-9749641,4,781,1601,3,778,1,819,3.158097686375321,0.29421078151249336,0.594550954306497
R-HSA-196807,4,781,1601,3,778,1,819,3.158097686375321,0.29421078151249336,0.594550954306497
R-HSA-71403,6,781,1601,4,777,2,818,2.1055341055341055,0.3208788713956601,0.6352091943954905
R-HSA-70268,7,781,1601,4,777,3,817,1.401973401973402,0.4733222975214193,0.7919842206671678
R-HSA-9717207,7,781,1601,4,777,3,817,1.401973401973402,0.4733222975214193,0.7919842206671678
R-HSA-163560,3,781,1601,2,779,1,819,2.102695763799743,0.4817223610243597,0.7919842206671678
R-HSA-192456,3,781,1601,2,779,1,819,2.102695763799743,0.4817223610243597,0.7919842206671678
R-HSA-189200,3,781,1601,2,779,1,819,2.102695763799743,0.4817223610243597,0.7919842206671678
R-HSA-8964208,3,781,1601,2,779,1,819,2.102695763799743,0.4817223610243597,0.7919842206671678
R-HSA-189085,3,781,1601,2,779,1,819,2.102695763799743,0.4817223610243597,0.7919842206671678
R-HSA-5619098,3,781,1601,2,779,1,819,2.102695763799743,0.4817223610243597,0.7919842206671678
R-HSA-8981373,3,781,1601,2,779,1,819,2.102695763799743,0.4817223610243597,0.7919842206671678
R-HSA-8963684,3,781,1601,2,779,1,819,2.102695763799743,0.4817223610243597,0.7919842206671678
R-HSA-5619044,10,781,1601,5,776,5,815,1.050257731958763,0.5930399489862934,0.8296896690262668
R-HSA-5659735,10,781,1601,5,776,5,815,1.050257731958763,0.5930399489862934,0.8296896690262668
R-HSA-8964539,4,781,1601,2,779,2,818,1.0500641848523748,0.6692339405362262,0.8296896690262668
R-HSA-73817,4,781,1601,2,779,2,818,1.0500641848523748,0.6692339405362262,0.8296896690262668
R-HSA-71240,9,781,1601,4,777,5,815,0.8391248391248392,0.7221238013858315,0.8296896690262668
R-HSA-71262,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-916853,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-9918432,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-75896,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-211945,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-211976,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-9679191,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-209968,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-70221,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-9840310,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-432047,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-196836,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-5619041,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-70688,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-210455,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-210500,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-446210,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-499943,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-500753,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-5628897,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-8963693,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-9748787,2,781,1601,1,780,1,819,1.05,0.7378279200499689,0.8296896690262668
R-HSA-379716,14,781,1601,6,775,8,812,0.7858064516129032,0.7612616550859561,0.8296896690262668
R-HSA-379726,14,781,1601,6,775,8,812,0.7858064516129032,0.7612616550859561,0.8296896690262668
R-HSA-442660,14,781,1601,6,775,8,812,0.7858064516129032,0.7612616550859561,0.8296896690262668
R-HSA-428559,3,781,1601,1,780,2,818,0.5243589743589744,0.8658806995627732,0.8935151899743511
R-HSA-70263,3,781,1601,1,780,2,818,0.5243589743589744,0.8658806995627732,0.8935151899743511
R-HSA-70635,3,781,1601,1,780,2,818,0.5243589743589744,0.8658806995627732,0.8935151899743511
R-HSA-2142691,3,781,1601,1,780,2,818,0.5243589743589744,0.8658806995627732,0.8935151899743511
R-HSA-8955332,3,781,1601,1,780,2,818,0.5243589743589744,0.8658806995627732,0.8935151899743511
R-HSA-352230,16,781,1601,6,775,10,810,0.6270967741935484,0.8771775461768019,0.8956444418857872
R-HSA-70895,4,781,1601,1,780,3,817,0.3491452991452991,0.9314296192382889,0.9411320111053544
R-HSA-5619094,8,781,1601,2,779,6,814,0.34830979888746255,0.9595528302846802,0.9595528302846802
