pathway_id,pathway_size,foreground_size,background_size,foreground_in_pathway,foreground_not_in_pathway,background_in_pathway_not_foreground,background_not_in_pathway_not_foreground,oddsratio,p_value,q_value
map01040,7,82,180,7,75,0,98,inf,0.0035220547289320204,0.41912451274291046
map00061,8,82,180,7,75,1,97,9.053333333333333,0.017488121457529506,0.6896223127010838
map00591,5,82,180,5,77,0,98,inf,0.018326480945997953,0.6896223127010838
map00010,4,82,180,4,78,0,98,inf,0.04135205957045691,0.6896223127010838
map01063,11,82,180,8,74,3,95,3.4234234234234235,0.05969430686354881,0.6896223127010838
map00360,6,82,180,5,77,1,97,6.298701298701299,0.06964062759479224,0.6896223127010838
map04922,6,82,180,5,77,1,97,6.298701298701299,0.06964062759479224,0.6896223127010838
map01061,8,82,180,6,76,2,96,3.789473684210526,0.08878856738773777,0.6896223127010838
map01070,8,82,180,6,76,2,96,3.789473684210526,0.08878856738773777,0.6896223127010838
map00400,3,82,180,3,79,0,98,inf,0.09264955118950474,0.6896223127010838
map04024,3,82,180,3,79,0,98,inf,0.09264955118950474,0.6896223127010838
map00030,3,82,180,3,79,0,98,inf,0.09264955118950474,0.6896223127010838
map01060,26,82,180,15,67,11,87,1.7706919945725916,0.1292430183253904,0.6896223127010838
map00720,5,82,180,4,78,1,97,4.9743589743589745,0.13345437406829277,0.6896223127010838
map00620,5,82,180,4,78,1,97,4.9743589743589745,0.13345437406829277,0.6896223127010838
map02020,7,82,180,5,77,2,96,3.116883116883117,0.15545911423156883,0.6896223127010838
map05230,19,82,180,11,71,8,90,1.7429577464788732,0.18439170732107235,0.6896223127010838
map00590,2,82,180,2,80,0,98,inf,0.20614525139664805,0.6896223127010838
map00901,2,82,180,2,80,0,98,inf,0.20614525139664805,0.6896223127010838
map04726,2,82,180,2,80,0,98,inf,0.20614525139664805,0.6896223127010838
map00643,2,82,180,2,80,0,98,inf,0.20614525139664805,0.6896223127010838
map04066,2,82,180,2,80,0,98,inf,0.20614525139664805,0.6896223127010838
map00940,2,82,180,2,80,0,98,inf,0.20614525139664805,0.6896223127010838
map00401,2,82,180,2,80,0,98,inf,0.20614525139664805,0.6896223127010838
map04917,2,82,180,2,80,0,98,inf,0.20614525139664805,0.6896223127010838
map00073,2,82,180,2,80,0,98,inf,0.20614525139664805,0.6896223127010838
map04923,2,82,180,2,80,0,98,inf,0.20614525139664805,0.6896223127010838
map00333,2,82,180,2,80,0,98,inf,0.20614525139664805,0.6896223127010838
map00500,2,82,180,2,80,0,98,inf,0.20614525139664805,0.6896223127010838
map05415,2,82,180,2,80,0,98,inf,0.20614525139664805,0.6896223127010838
map04931,2,82,180,2,80,0,98,inf,0.20614525139664805,0.6896223127010838
map04745,2,82,180,2,80,0,98,inf,0.20614525139664805,0.6896223127010838
map00190,2,82,180,2,80,0,98,inf,0.20614525139664805,0.6896223127010838
map00760,2,82,180,2,80,0,98,inf,0.20614525139664805,0.6896223127010838
map04723,4,82,180,3,79,1,97,3.6835443037974684,0.2465420260466482,0.6896223127010838
map00997,4,82,180,3,79,1,97,3.6835443037974684,0.2465420260466482,0.6896223127010838
map00020,4,82,180,3,79,1,97,3.6835443037974684,0.2465420260466482,0.6896223127010838
map00999,4,82,180,3,79,1,97,3.6835443037974684,0.2465420260466482,0.6896223127010838
map00640,4,82,180,3,79,1,97,3.6835443037974684,0.2465420260466482,0.6896223127010838
map00350,4,82,180,3,79,1,97,3.6835443037974684,0.2465420260466482,0.6896223127010838
map00250,6,82,180,4,78,2,96,2.4615384615384617,0.26108186701529396,0.6896223127010838
map01062,6,82,180,4,78,2,96,2.4615384615384617,0.26108186701529396,0.6896223127010838
map00966,6,82,180,4,78,2,96,2.4615384615384617,0.26108186701529396,0.6896223127010838
map01066,8,82,180,5,77,3,95,2.0562770562770565,0.2665766923046206,0.6896223127010838
map01064,8,82,180,5,77,3,95,2.0562770562770565,0.2665766923046206,0.6896223127010838
map01065,8,82,180,5,77,3,95,2.0562770562770565,0.2665766923046206,0.6896223127010838
map01110,35,82,180,18,64,17,81,1.3400735294117647,0.27763704981681697,0.7029533814510898
map01200,11,82,180,6,76,5,93,1.4684210526315788,0.3778918802976381,0.8924567798512884
map01240,11,82,180,6,76,5,93,1.4684210526315788,0.3778918802976381,0.8924567798512884
map00052,7,82,180,4,78,3,95,1.623931623931624,0.40191220406026074,0.8924567798512884
map00040,7,82,180,4,78,3,95,1.623931623931624,0.40191220406026074,0.8924567798512884
map00051,5,82,180,3,79,2,96,1.8227848101265822,0.4161735040141813,0.8924567798512884
map04973,3,82,180,2,80,1,97,2.425,0.4331366518109347,0.8924567798512884
map04727,3,82,180,2,80,1,97,2.425,0.4331366518109347,0.8924567798512884
map00071,3,82,180,2,80,1,97,2.425,0.4331366518109347,0.8924567798512884
map01212,3,82,180,2,80,1,97,2.425,0.4331366518109347,0.8924567798512884
map00404,3,82,180,2,80,1,97,2.425,0.4331366518109347,0.8924567798512884
map01210,10,82,180,5,77,5,93,1.2077922077922079,0.5107769510930716,0.8924567798512884
map01120,30,82,180,14,68,16,82,1.0551470588235294,0.5250276958099306,0.8924567798512884
map04742,8,82,180,4,78,4,94,1.205128205128205,0.5372477158159006,0.8924567798512884
map00650,8,82,180,4,78,4,94,1.205128205128205,0.5372477158159006,0.8924567798512884
map04978,13,82,180,6,76,7,91,1.0263157894736843,0.5930953022183916,0.8924567798512884
map02060,4,82,180,2,80,2,96,1.2,0.6197312775752211,0.8924567798512884
map04148,4,82,180,2,80,2,96,1.2,0.6197312775752211,0.8924567798512884
map00220,4,82,180,2,80,2,96,1.2,0.6197312775752211,0.8924567798512884
