pathway_id,pathway_size,foreground_size,background_size,foreground_in_pathway,foreground_not_in_pathway,background_in_pathway_not_foreground,background_not_in_pathway_not_foreground,oddsratio,p_value,q_value
map00460,7,162,398,6,156,1,235,9.038461538461538,0.019836838768486444,0.7449558185631819
map00260,7,162,398,6,156,1,235,9.038461538461538,0.019836838768486444,0.7449558185631819
map05230,16,162,398,11,151,5,231,3.3655629139072847,0.019933705096314095,0.7449558185631819
map04152,4,162,398,4,158,0,236,inf,0.026846775872970526,0.7449558185631819
map00630,6,162,398,5,157,1,235,7.484076433121019,0.04309125815226395,0.7449558185631819
map04726,8,162,398,6,156,2,234,4.5,0.05251792176435789,0.7449558185631819
map01063,10,162,398,7,155,3,233,3.50752688172043,0.05782754758785167,0.7449558185631819
map01230,22,162,398,13,149,9,227,2.2005965697240866,0.05789965324549885,0.7449558185631819
map00591,14,162,398,9,153,5,231,2.7176470588235295,0.06163611381604465,0.7449558185631819
map00970,14,162,398,9,153,5,231,2.7176470588235295,0.06163611381604465,0.7449558185631819
map00901,3,162,398,3,159,0,236,inf,0.06669482056492676,0.7449558185631819
map00470,13,162,398,8,154,5,231,2.4,0.10343635606136202,0.7449558185631819
map04080,13,162,398,8,154,5,231,2.4,0.10343635606136202,0.7449558185631819
map04978,13,162,398,8,154,5,231,2.4,0.10343635606136202,0.7449558185631819
map04148,9,162,398,6,156,3,233,2.9871794871794872,0.10480765455775225,0.7449558185631819
map01070,11,162,398,7,155,4,232,2.6193548387096772,0.10504982005759703,0.7449558185631819
map04974,18,162,398,10,152,8,228,1.875,0.14321895019761446,0.7449558185631819
map01040,16,162,398,9,153,7,229,1.9243697478991597,0.15108595679936873,0.7449558185631819
map00730,2,162,398,2,160,0,236,inf,0.16506968089819374,0.7449558185631819
map00983,2,162,398,2,160,0,236,inf,0.16506968089819374,0.7449558185631819
map04211,2,162,398,2,160,0,236,inf,0.16506968089819374,0.7449558185631819
map00624,2,162,398,2,160,0,236,inf,0.16506968089819374,0.7449558185631819
map00770,2,162,398,2,160,0,236,inf,0.16506968089819374,0.7449558185631819
map00930,2,162,398,2,160,0,236,inf,0.16506968089819374,0.7449558185631819
map00053,2,162,398,2,160,0,236,inf,0.16506968089819374,0.7449558185631819
map04918,2,162,398,2,160,0,236,inf,0.16506968089819374,0.7449558185631819
map04919,2,162,398,2,160,0,236,inf,0.16506968089819374,0.7449558185631819
map05320,2,162,398,2,160,0,236,inf,0.16506968089819374,0.7449558185631819
map00404,2,162,398,2,160,0,236,inf,0.16506968089819374,0.7449558185631819
map00333,2,162,398,2,160,0,236,inf,0.16506968089819374,0.7449558185631819
map01212,2,162,398,2,160,0,236,inf,0.16506968089819374,0.7449558185631819
map00680,2,162,398,2,160,0,236,inf,0.16506968089819374,0.7449558185631819
map00440,2,162,398,2,160,0,236,inf,0.16506968089819374,0.7449558185631819
map04960,2,162,398,2,160,0,236,inf,0.16506968089819374,0.7449558185631819
map07225,2,162,398,2,160,0,236,inf,0.16506968089819374,0.7449558185631819
map01200,8,162,398,5,157,3,233,2.4734607218683653,0.18240961469062408,0.7449558185631819
map00590,8,162,398,5,157,3,233,2.4734607218683653,0.18240961469062408,0.7449558185631819
map01220,8,162,398,5,157,3,233,2.4734607218683653,0.18240961469062408,0.7449558185631819
map04925,4,162,398,3,159,1,235,4.433962264150943,0.18623895464079548,0.7449558185631819
map00300,4,162,398,3,159,1,235,4.433962264150943,0.18623895464079548,0.7449558185631819
map00261,4,162,398,3,159,1,235,4.433962264150943,0.18623895464079548,0.7449558185631819
map01240,22,162,398,11,151,11,225,1.490066225165563,0.24344886255547105,0.8599765486465992
map02020,9,162,398,5,157,4,232,1.8471337579617835,0.2794120648567138,0.8599765486465992
map00270,7,162,398,4,158,3,233,1.9662447257383966,0.30212782850320324,0.8599765486465992
map00061,7,162,398,4,158,3,233,1.9662447257383966,0.30212782850320324,0.8599765486465992
map00999,7,162,398,4,158,3,233,1.9662447257383966,0.30212782850320324,0.8599765486465992
map00996,7,162,398,4,158,3,233,1.9662447257383966,0.30212782850320324,0.8599765486465992
map00998,5,162,398,3,159,2,234,2.207547169811321,0.32884236330997907,0.8599765486465992
map00592,5,162,398,3,159,2,234,2.207547169811321,0.32884236330997907,0.8599765486465992
map00073,5,162,398,3,159,2,234,2.207547169811321,0.32884236330997907,0.8599765486465992
map01120,47,162,398,21,141,26,210,1.2029459901800328,0.3304876660925489,0.8599765486465992
map04068,3,162,398,2,160,1,235,2.9375,0.3618194015647277,0.8599765486465992
map04216,3,162,398,2,160,1,235,2.9375,0.3618194015647277,0.8599765486465992
map01502,3,162,398,2,160,1,235,2.9375,0.3618194015647277,0.8599765486465992
map04150,3,162,398,2,160,1,235,2.9375,0.3618194015647277,0.8599765486465992
map00950,3,162,398,2,160,1,235,2.9375,0.3618194015647277,0.8599765486465992
map04922,3,162,398,2,160,1,235,2.9375,0.3618194015647277,0.8599765486465992
map00052,3,162,398,2,160,1,235,2.9375,0.3618194015647277,0.8599765486465992
map04973,3,162,398,2,160,1,235,2.9375,0.3618194015647277,0.8599765486465992
map05152,3,162,398,2,160,1,235,2.9375,0.3618194015647277,0.8599765486465992
map00040,3,162,398,2,160,1,235,2.9375,0.3618194015647277,0.8599765486465992
map04081,3,162,398,2,160,1,235,2.9375,0.3618194015647277,0.8599765486465992
map00520,3,162,398,2,160,1,235,2.9375,0.3618194015647277,0.8599765486465992
map00670,3,162,398,2,160,1,235,2.9375,0.3618194015647277,0.8599765486465992
map00920,3,162,398,2,160,1,235,2.9375,0.3618194015647277,0.8599765486465992
map00940,3,162,398,2,160,1,235,2.9375,0.3618194015647277,0.8599765486465992
map04927,3,162,398,2,160,1,235,2.9375,0.3618194015647277,0.8599765486465992
map04934,3,162,398,2,160,1,235,2.9375,0.3618194015647277,0.8599765486465992
map00071,3,162,398,2,160,1,235,2.9375,0.3618194015647277,0.8599765486465992
map02010,29,162,398,13,149,16,220,1.1996644295302012,0.38885418339987016,0.902673431273611
map01064,8,162,398,4,158,4,232,1.4683544303797469,0.4218460423157824,0.902673431273611
map00997,6,162,398,3,159,3,233,1.4654088050314464,0.47035719634046635,0.902673431273611
map00966,6,162,398,3,159,3,233,1.4654088050314464,0.47035719634046635,0.902673431273611
map00400,6,162,398,3,159,3,233,1.4654088050314464,0.47035719634046635,0.902673431273611
map00140,16,162,398,7,155,9,227,1.1390681003584229,0.49651503030302196,0.902673431273611
map01100,171,162,398,70,92,101,135,1.0170038743004735,0.5081078361177158,0.902673431273611
map01060,31,162,398,13,149,18,218,1.0566741237882178,0.5138601391299844,0.902673431273611
map04742,9,162,398,4,158,5,231,1.169620253164557,0.5357932242830374,0.902673431273611
map05022,4,162,398,2,160,2,234,1.4625,0.53739984848866,0.902673431273611
map00760,4,162,398,2,160,2,234,1.4625,0.53739984848866,0.902673431273611
map00623,4,162,398,2,160,2,234,1.4625,0.53739984848866,0.902673431273611
map00500,4,162,398,2,160,2,234,1.4625,0.53739984848866,0.902673431273611
map00564,4,162,398,2,160,2,234,1.4625,0.53739984848866,0.902673431273611
map02060,4,162,398,2,160,2,234,1.4625,0.53739984848866,0.902673431273611
map04928,4,162,398,2,160,2,234,1.4625,0.53739984848866,0.902673431273611
map00230,12,162,398,5,157,7,229,1.0418562329390355,0.583376913686755,0.902673431273611
map00380,12,162,398,5,157,7,229,1.0418562329390355,0.583376913686755,0.902673431273611
map00250,7,162,398,3,159,4,232,1.0943396226415094,0.5965292222184138,0.902673431273611
map00220,7,162,398,3,159,4,232,1.0943396226415094,0.5965292222184138,0.902673431273611
map01232,7,162,398,3,159,4,232,1.0943396226415094,0.5965292222184138,0.902673431273611
map00350,7,162,398,3,159,4,232,1.0943396226415094,0.5965292222184138,0.902673431273611
