pathway_id,pathway_size,foreground_size,background_size,foreground_in_pathway,foreground_not_in_pathway,background_in_pathway_not_foreground,background_not_in_pathway_not_foreground,oddsratio,p_value,q_value
map00630,7,290,711,7,283,0,421,inf,0.0017983689027615604,0.2584207980746834
map00260,9,290,711,8,282,1,420,11.914893617021276,0.004186377021145729,0.2584207980746834
map00470,23,290,711,16,274,7,414,3.4535974973931176,0.004408404140845083,0.2584207980746834
map05230,16,290,711,12,278,4,417,4.5,0.005440437854203861,0.2584207980746834
map00970,14,290,711,10,280,4,417,3.7232142857142856,0.01936566238480489,0.5771302979760212
map01230,22,290,711,14,276,8,413,2.618659420289855,0.023936914102241278,0.5771302979760212
map04152,4,290,711,4,286,0,421,inf,0.0273377509567589,0.5771302979760212
map01250,4,290,711,4,286,0,421,inf,0.0273377509567589,0.5771302979760212
map00901,4,290,711,4,286,0,421,inf,0.0273377509567589,0.5771302979760212
map01063,11,290,711,8,282,3,418,3.9527186761229314,0.032089477916183495,0.5945246431937654
map04080,13,290,711,9,281,4,417,3.338967971530249,0.03529744467625463,0.5945246431937654
map00905,6,290,711,5,285,1,420,7.368421052631579,0.044031709474823794,0.5945246431937654
map04726,8,290,711,6,284,2,419,4.426056338028169,0.05385899710000897,0.5945246431937654
map01200,12,290,711,8,282,4,417,2.9574468085106385,0.06259789649155395,0.5945246431937654
map04974,18,290,711,11,279,7,414,2.3317972350230414,0.06370537103522428,0.5945246431937654
map00591,14,290,711,9,281,5,416,2.6647686832740214,0.0639746528008642,0.5945246431937654
map01070,14,290,711,9,281,5,416,2.6647686832740214,0.0639746528008642,0.5945246431937654
map04068,3,290,711,3,287,0,421,inf,0.06743946925918225,0.5945246431937654
map04216,3,290,711,3,287,0,421,inf,0.06743946925918225,0.5945246431937654
map04964,3,290,711,3,287,0,421,inf,0.06743946925918225,0.5945246431937654
map00053,3,290,711,3,287,0,421,inf,0.06743946925918225,0.5945246431937654
map00998,5,290,711,4,286,1,420,5.874125874125874,0.09245341235871361,0.5945246431937654
map00040,5,290,711,4,286,1,420,5.874125874125874,0.09245341235871361,0.5945246431937654
map01100,234,290,711,104,186,130,291,1.2516129032258065,0.09552797391277379,0.5945246431937654
map04978,13,290,711,8,282,5,416,2.3602836879432623,0.10627861939603282,0.5945246431937654
map02020,9,290,711,6,284,3,418,2.943661971830986,0.10694327281190769,0.5945246431937654
map04148,9,290,711,6,284,3,418,2.943661971830986,0.10694327281190769,0.5945246431937654
map00460,9,290,711,6,284,3,418,2.943661971830986,0.10694327281190769,0.5945246431937654
map01040,16,290,711,9,281,7,414,1.8942552109811897,0.15493927339738442,0.5945246431937654
map04072,2,290,711,2,288,0,421,inf,0.16602286008597292,0.5945246431937654
map04724,2,290,711,2,288,0,421,inf,0.16602286008597292,0.5945246431937654
map05014,2,290,711,2,288,0,421,inf,0.16602286008597292,0.5945246431937654
map00730,2,290,711,2,288,0,421,inf,0.16602286008597292,0.5945246431937654
map04211,2,290,711,2,288,0,421,inf,0.16602286008597292,0.5945246431937654
map00624,2,290,711,2,288,0,421,inf,0.16602286008597292,0.5945246431937654
map00930,2,290,711,2,288,0,421,inf,0.16602286008597292,0.5945246431937654
map04918,2,290,711,2,288,0,421,inf,0.16602286008597292,0.5945246431937654
map04919,2,290,711,2,288,0,421,inf,0.16602286008597292,0.5945246431937654
map05320,2,290,711,2,288,0,421,inf,0.16602286008597292,0.5945246431937654
map00404,2,290,711,2,288,0,421,inf,0.16602286008597292,0.5945246431937654
