pathway_id,pathway_size,foreground_size,background_size,foreground_in_pathway,foreground_not_in_pathway,background_in_pathway_not_foreground,background_not_in_pathway_not_foreground,oddsratio,p_value,q_value
map01230,39,155,342,29,126,10,177,4.0738095238095235,9.62950762121918e-05,0.01656275310849699
map01210,25,155,342,19,136,6,181,4.214460784313726,0.0012713901019980008,0.10933954877182807
map04974,24,155,342,18,137,6,181,3.9635036496350367,0.0022771443160914226,0.1305562741225749
map00970,20,155,342,15,140,5,182,3.9,0.005656282116666647,0.20513054853078921
map00660,6,155,342,6,149,0,187,inf,0.008212018946223162,0.20513054853078921
map00460,9,155,342,8,147,1,186,10.122448979591837,0.00881492182207725,0.20513054853078921
map05230,28,155,342,19,136,9,178,2.7630718954248366,0.010596836525841103,0.20513054853078921
map00470,21,155,342,15,140,6,181,3.232142857142857,0.011865198231895243,0.20513054853078921
map01110,87,155,342,49,106,38,149,1.8125620655412116,0.01192466885751681,0.20513054853078921
map01060,49,155,342,30,125,19,168,2.122105263157895,0.011960335779582802,0.20513054853078921
map00220,11,155,342,9,146,2,185,5.7020547945205475,0.014311433618427153,0.20513054853078921
map00040,11,155,342,9,146,2,185,5.7020547945205475,0.014311433618427153,0.20513054853078921
map00997,8,155,342,7,148,1,186,8.797297297297296,0.017871209248321255,0.2364498454393274
map00650,10,155,342,8,147,2,185,5.034013605442177,0.026927496674565267,0.3087686285350151
map00998,10,155,342,8,147,2,185,5.034013605442177,0.026927496674565267,0.3087686285350151
map00280,7,155,342,6,149,1,186,7.489932885906041,0.03563429649878978,0.3382497541789577
map00261,7,155,342,6,149,1,186,7.489932885906041,0.03563429649878978,0.3382497541789577
map01502,4,155,342,4,151,0,187,inf,0.04129793510324483,0.3382497541789577
map00300,4,155,342,4,151,0,187,inf,0.04129793510324483,0.3382497541789577
map00940,4,155,342,4,151,0,187,inf,0.04129793510324483,0.3382497541789577
map00073,4,155,342,4,151,0,187,inf,0.04129793510324483,0.3382497541789577
map00290,9,155,342,7,148,2,185,4.375,0.04956821524017528,0.3622361813297694
map00966,9,155,342,7,148,2,185,4.375,0.04956821524017528,0.3622361813297694
map02010,43,155,342,25,130,18,169,1.8055555555555556,0.05054458344136317,0.3622361813297694
map00350,11,155,342,8,147,3,184,3.3378684807256236,0.06057033149093356,0.4167238806576229
map00400,6,155,342,5,150,1,186,6.2,0.06963792066397242,0.427775798364402
map00785,6,155,342,5,150,1,186,6.2,0.06963792066397242,0.427775798364402
map00030,6,155,342,5,150,1,186,6.2,0.06963792066397242,0.427775798364402
map01200,17,155,342,11,144,6,181,2.3043981481481484,0.08136763472456704,0.466507772420851
map00330,17,155,342,11,144,6,181,2.3043981481481484,0.08136763472456704,0.466507772420851
map01120,61,155,342,33,122,28,159,1.536007025761124,0.08443266742670553,0.46846512249655975
map00680,8,155,342,6,149,2,185,3.7248322147651005,0.08892355825019538,0.47796412559480017
map00401,3,155,342,3,152,0,187,inf,0.09210526315789473,0.48006379585326947
map00410,10,155,342,7,148,3,184,2.900900900900901,0.10239655855993202,0.5032059449230945
map00770,10,155,342,7,148,3,184,2.900900900900901,0.10239655855993202,0.5032059449230945
