pathway_id,pathway_size,foreground_size,background_size,foreground_in_pathway,foreground_not_in_pathway,background_in_pathway_not_foreground,background_not_in_pathway_not_foreground,oddsratio,p_value,q_value
R-HSA-74259,4,285,645,4,281,0,360,inf,0.03767100103560223,0.7794308825653617
R-HSA-5619063,4,285,645,4,281,0,360,inf,0.03767100103560223,0.7794308825653617
R-HSA-83936,6,285,645,5,280,1,359,6.410714285714286,0.06296008470663592,0.7794308825653617
R-HSA-74217,3,285,645,3,282,0,360,inf,0.08576164065551997,0.7794308825653617
R-HSA-3296197,3,285,645,3,282,0,360,inf,0.08576164065551997,0.7794308825653617
R-HSA-189200,3,285,645,3,282,0,360,inf,0.08576164065551997,0.7794308825653617
R-HSA-110331,2,285,645,2,283,0,360,inf,0.19485772064134044,0.7794308825653617
R-HSA-1237112,2,285,645,2,283,0,360,inf,0.19485772064134044,0.7794308825653617
R-HSA-433692,2,285,645,2,283,0,360,inf,0.19485772064134044,0.7794308825653617
R-HSA-5619070,2,285,645,2,283,0,360,inf,0.19485772064134044,0.7794308825653617
R-HSA-389887,2,285,645,2,283,0,360,inf,0.19485772064134044,0.7794308825653617
R-HSA-5619047,2,285,645,2,283,0,360,inf,0.19485772064134044,0.7794308825653617
R-HSA-428643,2,285,645,2,283,0,360,inf,0.19485772064134044,0.7794308825653617
R-HSA-432047,2,285,645,2,283,0,360,inf,0.19485772064134044,0.7794308825653617
R-HSA-418594,9,285,645,5,280,4,356,1.5892857142857142,0.3586213952060656,0.9266666918617436
R-HSA-381771,7,285,645,4,281,3,357,1.6939501779359432,0.37395293194477086,0.9266666918617436
R-HSA-381753,5,285,645,3,282,2,358,1.9042553191489362,0.3916361144939048,0.9266666918617436
R-HSA-73621,5,285,645,3,282,2,358,1.9042553191489362,0.3916361144939048,0.9266666918617436
R-HSA-70635,3,285,645,2,283,1,359,2.537102473498233,0.4130498806129813,0.9266666918617436
R-HSA-9840310,3,285,645,2,283,1,359,2.537102473498233,0.4130498806129813,0.9266666918617436
R-HSA-200425,3,285,645,2,283,1,359,2.537102473498233,0.4130498806129813,0.9266666918617436
R-HSA-561048,3,285,645,2,283,1,359,2.537102473498233,0.4130498806129813,0.9266666918617436
R-HSA-196807,4,285,645,2,283,2,358,1.265017667844523,0.5960662017106897,0.9266666918617436
R-HSA-9749641,4,285,645,2,283,2,358,1.265017667844523,0.5960662017106897,0.9266666918617436
R-HSA-416476,4,285,645,2,283,2,358,1.265017667844523,0.5960662017106897,0.9266666918617436
R-HSA-444209,4,285,645,2,283,2,358,1.265017667844523,0.5960662017106897,0.9266666918617436
R-HSA-1483115,2,285,645,1,284,1,359,1.2640845070422535,0.6888632095912177,0.9266666918617436
R-HSA-1483148,2,285,645,1,284,1,359,1.2640845070422535,0.6888632095912177,0.9266666918617436
R-HSA-422085,2,285,645,1,284,1,359,1.2640845070422535,0.6888632095912177,0.9266666918617436
R-HSA-71262,2,285,645,1,284,1,359,1.2640845070422535,0.6888632095912177,0.9266666918617436
R-HSA-5652227,2,285,645,1,284,1,359,1.2640845070422535,0.6888632095912177,0.9266666918617436
R-HSA-71288,2,285,645,1,284,1,359,1.2640845070422535,0.6888632095912177,0.9266666918617436
R-HSA-422356,2,285,645,1,284,1,359,1.2640845070422535,0.6888632095912177,0.9266666918617436
R-HSA-71240,2,285,645,1,284,1,359,1.2640845070422535,0.6888632095912177,0.9266666918617436
R-HSA-193368,2,285,645,1,284,1,359,1.2640845070422535,0.6888632095912177,0.9266666918617436
R-HSA-9707616,2,285,645,1,284,1,359,1.2640845070422535,0.6888632095912177,0.9266666918617436
R-HSA-2151201,2,285,645,1,284,1,359,1.2640845070422535,0.6888632095912177,0.9266666918617436
R-HSA-381340,2,285,645,1,284,1,359,1.2640845070422535,0.6888632095912177,0.9266666918617436
R-HSA-9679191,2,285,645,1,284,1,359,1.2640845070422535,0.6888632095912177,0.9266666918617436
R-HSA-9969896,2,285,645,1,284,1,359,1.2640845070422535,0.6888632095912177,0.9266666918617436
R-HSA-73614,5,285,645,2,283,3,357,0.8409893992932862,0.7323529265218794,0.9266666918617436
R-HSA-352230,3,285,645,1,284,2,358,0.6302816901408451,0.8267698740803359,0.9266666918617436
R-HSA-5619108,3,285,645,1,284,2,358,0.6302816901408451,0.8267698740803359,0.9266666918617436
R-HSA-804914,3,285,645,1,284,2,358,0.6302816901408451,0.8267698740803359,0.9266666918617436
R-HSA-2453902,3,285,645,1,284,2,358,0.6302816901408451,0.8267698740803359,0.9266666918617436
R-HSA-163560,3,285,645,1,284,2,358,0.6302816901408451,0.8267698740803359,0.9266666918617436
R-HSA-192456,3,285,645,1,284,2,358,0.6302816901408451,0.8267698740803359,0.9266666918617436
R-HSA-3000480,3,285,645,1,284,2,358,0.6302816901408451,0.8267698740803359,0.9266666918617436
R-HSA-189085,3,285,645,1,284,2,358,0.6302816901408451,0.8267698740803359,0.9266666918617436
R-HSA-420499,6,285,645,2,283,4,356,0.6289752650176679,0.8273809748765568,0.9266666918617436
R-HSA-549127,7,285,645,2,283,5,355,0.5017667844522968,0.8909114635418434,0.937140398137016
R-HSA-112310,4,285,645,1,284,3,357,0.41901408450704225,0.9036710982035512,0.937140398137016
R-HSA-6814848,4,285,645,1,284,3,357,0.41901408450704225,0.9036710982035512,0.937140398137016
R-HSA-975634,4,285,645,1,284,3,357,0.41901408450704225,0.9036710982035512,0.937140398137016
R-HSA-9717207,9,285,645,2,283,7,353,0.3563856638061585,0.9583466069964203,0.9757710907599916
R-HSA-156584,7,285,645,1,284,6,354,0.20774647887323944,0.9835600928453864,0.9835600928453864
