Input name	RefMet_ID	Formula	Exact mass	Super class	Main class	Sub class	PubChem_CID	ChEBI_ID	HMDB_ID	LM_ID	KEGG_ID	INCHI_KEY	SMILES	Standardized name	ChEBI_ID_Step1_reactome	Reactome_Pathways_Step1	KEGG_Compounds_Step1	KEGG_Pathways_Step1	CHEBI_Exact_From_Names	CHEBI_Fuzzy_From_Names	CHEBI_From_Names_All	CHEBI_ID_Step2	KEGG_Exact_From_Names	KEGG_Fuzzy_From_Names	KEGG_From_Names_All	KEGG_ID_Step2	ChEBI_ID_Step2_reactome	Reactome_Pathways_Step2	KEGG_Compounds_Step2	KEGG_Pathways_Step2	CHEBI_RO_Equivalents	CHEBI_ID_Step3	KEGG_ID_Step3	ChEBI_ID_Step3_reactome	Reactome_Pathways_Step3	KEGG_Compounds_Step3	KEGG_Pathways_Step3	CHEBI_is_a_Equivalents	CHEBI_ID_Step4	KEGG_ID_Step4	ChEBI_ID_Step4_reactome	Reactome_Pathways_Step4	KEGG_Compounds_Step4	KEGG_Pathways_Step4	CHEBI_IsA_Generalisation	Reactome_Pathways_IsA_Generalisation	n_pathways_isa_generalisation
DG(41:5)	RM0134386	C44H76O5	684.5693	Glycerolipids	Diradylglycerols	DAG								DG 41:5					CHEBI:132491	CHEBI:132491	CHEBI:132491	CHEBI:132491										CHEBI:132491							CHEBI:132491						CHEBI:18035	R-HSA-112043,R-HSA-1250196,R-HSA-192456,R-HSA-202424,R-HSA-202433,R-HSA-2029485,R-HSA-2871809,R-HSA-2871837,R-HSA-418890,R-HSA-5218921,R-HSA-5607764,R-HSA-6809371,R-HSA-8963889,R-HSA-8963901,R-HSA-8964058,R-HSA-9027277,R-HSA-9648002,R-HSA-9664323,R-HSA-9680350,R-HSA-975634	20
1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine	-	-	-	-	-	-	-		-	-		-	-	-					CHEBI:183262	CHEBI:183262	CHEBI:183262	CHEBI:183262										CHEBI:183262							CHEBI:183262								0
FA(18:1)	RM0140004	C18H34O2	282.2559	Fatty Acyls	Fatty acids	Unsaturated FA								Octadecenoic acid					CHEBI:25634,CHEBI:140948	CHEBI:25634,CHEBI:140948,CHEBI:140948,CHEBI:16196	CHEBI:25634,CHEBI:140948,CHEBI:16196	CHEBI:16196,CHEBI:25634,CHEBI:140948	C00712	C00712	C00712	C00712			C00712	map00061,map00073,map01040,map01060,map04212	CHEBI:30823,CHEBI:78049	CHEBI:16196,CHEBI:25634,CHEBI:30823,CHEBI:78049,CHEBI:140948	C00712	CHEBI:30823	R-HSA-112310,R-HSA-2453902,R-HSA-381771,R-HSA-400511,R-HSA-416476,R-HSA-434316,R-HSA-444209,R-HSA-444209,R-HSA-5619108,R-HSA-804914,R-HSA-9673163,R-HSA-975634	C00712	map00061,map00073,map01040,map01060,map04212	CHEBI:27997,CHEBI:28194,CHEBI:28727,CHEBI:30825,CHEBI:30827,CHEBI:30828,CHEBI:30829,CHEBI:32375,CHEBI:32377,CHEBI:36021,CHEBI:36022,CHEBI:36023,CHEBI:50464,CHEBI:50498,CHEBI:50572,CHEBI:50573,CHEBI:50575,CHEBI:82617,CHEBI:82618,CHEBI:132944,CHEBI:143770,CHEBI:192538,CHEBI:192539,CHEBI:194438,CHEBI:194454,CHEBI:195300	CHEBI:16196,CHEBI:25634,CHEBI:27997,CHEBI:28194,CHEBI:28727,CHEBI:30823,CHEBI:30825,CHEBI:30827,CHEBI:30828,CHEBI:30829,CHEBI:32375,CHEBI:32377,CHEBI:36021,CHEBI:36022,CHEBI:36023,CHEBI:50464,CHEBI:50498,CHEBI:50572,CHEBI:50573,CHEBI:50575,CHEBI:78049,CHEBI:82617,CHEBI:82618,CHEBI:132944,CHEBI:140948,CHEBI:143770,CHEBI:192538,CHEBI:192539,CHEBI:194438,CHEBI:194454,CHEBI:195300	C00712,C01712,C08363,C08367	CHEBI:27997,CHEBI:30823	R-HSA-381771,R-HSA-416476,R-HSA-444209,R-HSA-112310,R-HSA-2453902,R-HSA-381771,R-HSA-400511,R-HSA-416476,R-HSA-434316,R-HSA-444209,R-HSA-444209,R-HSA-5619108,R-HSA-804914,R-HSA-9673163,R-HSA-975634	C00712	map00061,map00073,map01040,map01060,map04212			0
PC(17:1_18:2)	RM0025431	C43H80NO8P	769.5622	Glycerophospholipids	Glycerophosphocholines	PC								PC 17:1_18:2																																	0
2,2,4,6,6-pentamethyl-Heptane	-	-	-	-	-	-	-		-	-		-	-	-																																	0
FA(18:2)	RM0137483	C18H32O2	280.2402	Fatty Acyls	Fatty acids	Unsaturated FA								Octadecadienoic acid					CHEBI:25627,CHEBI:140949	CHEBI:25627,CHEBI:140949,CHEBI:140949	CHEBI:25627,CHEBI:140949	CHEBI:25627,CHEBI:140949									CHEBI:25626	CHEBI:25626,CHEBI:25627,CHEBI:140949						CHEBI:17351,CHEBI:17539,CHEBI:24993,CHEBI:30245,CHEBI:32798,CHEBI:34496,CHEBI:36025,CHEBI:36331,CHEBI:38393,CHEBI:38401,CHEBI:38402,CHEBI:44526,CHEBI:72651,CHEBI:75108,CHEBI:77200,CHEBI:77852,CHEBI:77895,CHEBI:78705,CHEBI:78730,CHEBI:82749,CHEBI:83063,CHEBI:83066,CHEBI:86141,CHEBI:88464,CHEBI:92157,CHEBI:94780,CHEBI:133820,CHEBI:137802,CHEBI:138083,CHEBI:165453,CHEBI:165454,CHEBI:165493,CHEBI:165767,CHEBI:165769,CHEBI:165770,CHEBI:165771,CHEBI:165772,CHEBI:165773,CHEBI:170098,CHEBI:181324,CHEBI:183601,CHEBI:186839,CHEBI:186883,CHEBI:187051,CHEBI:187256,CHEBI:188305,CHEBI:190309,CHEBI:190732,CHEBI:194440,CHEBI:194450,CHEBI:194480	CHEBI:17351,CHEBI:17539,CHEBI:24993,CHEBI:25626,CHEBI:25627,CHEBI:30245,CHEBI:32798,CHEBI:34496,CHEBI:36025,CHEBI:36331,CHEBI:38393,CHEBI:38401,CHEBI:38402,CHEBI:44526,CHEBI:72651,CHEBI:75108,CHEBI:77200,CHEBI:77852,CHEBI:77895,CHEBI:78705,CHEBI:78730,CHEBI:82749,CHEBI:83063,CHEBI:83066,CHEBI:86141,CHEBI:88464,CHEBI:92157,CHEBI:94780,CHEBI:133820,CHEBI:137802,CHEBI:138083,CHEBI:140949,CHEBI:165453,CHEBI:165454,CHEBI:165493,CHEBI:165767,CHEBI:165769,CHEBI:165770,CHEBI:165771,CHEBI:165772,CHEBI:165773,CHEBI:170098,CHEBI:181324,CHEBI:183601,CHEBI:186839,CHEBI:186883,CHEBI:187051,CHEBI:187256,CHEBI:188305,CHEBI:190309,CHEBI:190732,CHEBI:194440,CHEBI:194450,CHEBI:194480	C01595,C04056,C14767	CHEBI:17351,CHEBI:34496	R-HSA-1368108,R-HSA-1989781,R-HSA-1989781,R-HSA-2046105,R-HSA-2151201,R-HSA-2426168,R-HSA-2453902,R-HSA-381340,R-HSA-400206,R-HSA-5619108,R-HSA-804914,R-HSA-9707564,R-HSA-9707616,R-HSA-975634,R-HSA-9931509,R-HSA-9933387,R-HSA-1989781,R-HSA-381340,R-HSA-381340,R-HSA-8943724,R-HSA-8943724,R-HSA-9841922,R-HSA-9841922,R-HSA-9844594	C01595,C04056,C14767	map01100,map00591,map01040,map01060,map00591,map00591,map03320			0
DG(20:5_22:6)	RM0033722	C45H66O5	686.4910	Glycerolipids	Diradylglycerols	DAG								DG 20:5_22:6																																	0
Octadecanoic acid	RM0153574	C18H36O2	284.2715	Fatty Acyls	Fatty acids	Saturated FA	5281	CHEBI:28842	HMDB0000827	LMFA01010018	C01530	QIQXTHQIDYTFRH-UHFFFAOYSA-N	CCCCCCCCCCCCCCCCCC(=O)O	Stearic acid			C01530	map01100,map00061,map01040,map01060,map04745	CHEBI:28842,CHEBI:28842	CHEBI:28842,CHEBI:28842	CHEBI:28842,CHEBI:28842	CHEBI:28842	C01530	C01530	C01530	C01530			C01530	map01100,map00061,map01040,map01060,map04745	CHEBI:25629	CHEBI:25629,CHEBI:28842	C01530			C01530	map01100,map00061,map01040,map01060,map04745		CHEBI:25629,CHEBI:28842	C01530			C01530	map01100,map00061,map01040,map01060,map04745	CHEBI:15904	R-HSA-1369062,R-HSA-192456,R-HSA-3000471,R-HSA-390247,R-HSA-5684045,R-HSA-77289,R-HSA-8963901,R-HSA-8964058,R-HSA-975634	9
(E)-11-Octadecenoic acid	RM0152793	C18H34O2	282.2559	Fatty Acyls	Fatty acids	Unsaturated FA	5281127	CHEBI:28727	HMDB0003231	LMFA01030077	C08367	UWHZIFQPPBDJPM-BQYQJAHWSA-N	CCCCCC/C=C/CCCCCCCCCC(=O)O	trans-Vaccenic acid					CHEBI:28727	CHEBI:28727	CHEBI:28727	CHEBI:28727	C08367	C08367	C08367	C08367					CHEBI:30828	CHEBI:28727,CHEBI:30828	C08367						CHEBI:28727,CHEBI:30828	C08367					CHEBI:15904,CHEBI:35366	R-HSA-1369062,R-HSA-1482883,R-HSA-167826,R-HSA-192456,R-HSA-3000471,R-HSA-390247,R-HSA-422085,R-HSA-426048,R-HSA-5684045,R-HSA-6809371,R-HSA-6811436,R-HSA-77289,R-HSA-8963889,R-HSA-8963901,R-HSA-8964038,R-HSA-8964058,R-HSA-975634	17
NAE(22:5)	RM0153911	C24H39NO2	373.2981	Fatty Acyls	Fatty amides	NAE								Docosapentaenoyl-EA						CHEBI:134164	CHEBI:134164	CHEBI:134164										CHEBI:134164							CHEBI:134164						CHEBI:18059,CHEBI:30879	R-HSA-1222556,R-HSA-1369062,R-HSA-1483166,R-HSA-2022377,R-HSA-5682294,R-HSA-804914,R-HSA-8935690,R-HSA-8941413	8
